project,prediction,target,train_strategy,model_arch
abdera,graduated,graduated,Ac^ --> Ac^^,BLSTM
accumulo,graduated,graduated,Ac^ --> Ac^^,BLSTM
ace,graduated,graduated,Ac^ --> Ac^^,BLSTM
activemq,graduated,graduated,Ac^ --> Ac^^,BLSTM
adffaces,graduated,graduated,Ac^ --> Ac^^,BLSTM
agila,retired,retired,Ac^ --> Ac^^,BLSTM
airavata,graduated,graduated,Ac^ --> Ac^^,BLSTM
airflow,graduated,graduated,Ac^ --> Ac^^,BLSTM
allura,graduated,graduated,Ac^ --> Ac^^,BLSTM
alois,retired,retired,Ac^ --> Ac^^,BLSTM
amaterasu,retired,retired,Ac^ --> Ac^^,BLSTM
ambari,graduated,graduated,Ac^ --> Ac^^,BLSTM
ant,graduated,graduated,Ac^ --> Ac^^,BLSTM
any23,graduated,graduated,Ac^ --> Ac^^,BLSTM
apex,graduated,graduated,Ac^ --> Ac^^,BLSTM
apisix,graduated,graduated,Ac^ --> Ac^^,BLSTM
ariatosca,retired,retired,Ac^ --> Ac^^,BLSTM
aries,graduated,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,graduated,graduated,Ac^ --> Ac^^,BLSTM
atlas,graduated,graduated,Ac^ --> Ac^^,BLSTM
aurora,graduated,graduated,Ac^ --> Ac^^,BLSTM
awf,retired,retired,Ac^ --> Ac^^,BLSTM
batchee,retired,graduated,Ac^ --> Ac^^,BLSTM
beam,graduated,graduated,Ac^ --> Ac^^,BLSTM
beehive,graduated,graduated,Ac^ --> Ac^^,BLSTM
bigtop,graduated,graduated,Ac^ --> Ac^^,BLSTM
bloodhound,graduated,graduated,Ac^ --> Ac^^,BLSTM
bluesky,retired,retired,Ac^ --> Ac^^,BLSTM
blur,retired,retired,Ac^ --> Ac^^,BLSTM
bookkeeper,graduated,graduated,Ac^ --> Ac^^,BLSTM
brooklyn,graduated,graduated,Ac^ --> Ac^^,BLSTM
buildr,graduated,graduated,Ac^ --> Ac^^,BLSTM
bval,graduated,graduated,Ac^ --> Ac^^,BLSTM
calcite,graduated,graduated,Ac^ --> Ac^^,BLSTM
carbondata,graduated,graduated,Ac^ --> Ac^^,BLSTM
cassandra,graduated,graduated,Ac^ --> Ac^^,BLSTM
cayenne,graduated,graduated,Ac^ --> Ac^^,BLSTM
celix,graduated,graduated,Ac^ --> Ac^^,BLSTM
chemistry,graduated,graduated,Ac^ --> Ac^^,BLSTM
chukwa,graduated,graduated,Ac^ --> Ac^^,BLSTM
clerezza,graduated,graduated,Ac^ --> Ac^^,BLSTM
click,graduated,graduated,Ac^ --> Ac^^,BLSTM
climate,graduated,graduated,Ac^ --> Ac^^,BLSTM
cloudstack,graduated,graduated,Ac^ --> Ac^^,BLSTM
cmda,retired,retired,Ac^ --> Ac^^,BLSTM
commons,graduated,graduated,Ac^ --> Ac^^,BLSTM
commonsrdf,graduated,graduated,Ac^ --> Ac^^,BLSTM
