project,month,prediction,target,train_strategy,model_arch
abdera,1,0.9019676962665781,graduated,Ac^ --> Ac^^,BLSTM
abdera,2,0.9885638839070284,graduated,Ac^ --> Ac^^,BLSTM
abdera,3,0.9890986780035601,graduated,Ac^ --> Ac^^,BLSTM
abdera,4,0.9885765842576894,graduated,Ac^ --> Ac^^,BLSTM
abdera,5,0.9886442584302144,graduated,Ac^ --> Ac^^,BLSTM
abdera,6,0.9887553189723705,graduated,Ac^ --> Ac^^,BLSTM
abdera,7,0.9886079920550263,graduated,Ac^ --> Ac^^,BLSTM
abdera,8,0.9885773106451551,graduated,Ac^ --> Ac^^,BLSTM
abdera,9,0.988609467234019,graduated,Ac^ --> Ac^^,BLSTM
abdera,10,0.9886863802312867,graduated,Ac^ --> Ac^^,BLSTM
abdera,11,0.9884603019526579,graduated,Ac^ --> Ac^^,BLSTM
abdera,12,0.9884442885384584,graduated,Ac^ --> Ac^^,BLSTM
abdera,13,0.9883916518820101,graduated,Ac^ --> Ac^^,BLSTM
abdera,14,0.9884721586322955,graduated,Ac^ --> Ac^^,BLSTM
abdera,15,0.9880578806152553,graduated,Ac^ --> Ac^^,BLSTM
abdera,16,0.9881137978800935,graduated,Ac^ --> Ac^^,BLSTM
abdera,17,0.9882939476117899,graduated,Ac^ --> Ac^^,BLSTM
abdera,18,0.9883944848604825,graduated,Ac^ --> Ac^^,BLSTM
abdera,19,0.9884442193445282,graduated,Ac^ --> Ac^^,BLSTM
abdera,20,0.9884790258950404,graduated,Ac^ --> Ac^^,BLSTM
abdera,21,0.988447584465154,graduated,Ac^ --> Ac^^,BLSTM
abdera,22,0.9884525606687417,graduated,Ac^ --> Ac^^,BLSTM
abdera,23,0.9884260035207407,graduated,Ac^ --> Ac^^,BLSTM
abdera,24,0.9884265791932862,graduated,Ac^ --> Ac^^,BLSTM
abdera,25,0.9884093123767976,graduated,Ac^ --> Ac^^,BLSTM
abdera,26,0.9884410418177817,graduated,Ac^ --> Ac^^,BLSTM
abdera,27,0.988419245977761,graduated,Ac^ --> Ac^^,BLSTM
abdera,28,0.9883044573906722,graduated,Ac^ --> Ac^^,BLSTM
abdera,29,0.9031983039427829,graduated,Ac^ --> Ac^^,BLSTM
accumulo,1,0.9039928683439261,graduated,Ac^ --> Ac^^,BLSTM
accumulo,2,0.9894966331643846,graduated,Ac^ --> Ac^^,BLSTM
accumulo,3,0.9894928995041702,graduated,Ac^ --> Ac^^,BLSTM
accumulo,4,0.9893932414441844,graduated,Ac^ --> Ac^^,BLSTM
accumulo,5,0.9892250829724678,graduated,Ac^ --> Ac^^,BLSTM
accumulo,6,0.9041358779071288,graduated,Ac^ --> Ac^^,BLSTM
ace,1,0.488019156501053,graduated,Ac^ --> Ac^^,BLSTM
ace,2,0.14678886417614181,graduated,Ac^ --> Ac^^,BLSTM
ace,3,0.8664969089348279,graduated,Ac^ --> Ac^^,BLSTM
ace,4,0.8917579361974304,graduated,Ac^ --> Ac^^,BLSTM
ace,5,0.17515324870277363,graduated,Ac^ --> Ac^^,BLSTM
ace,6,0.8956944248981795,graduated,Ac^ --> Ac^^,BLSTM
ace,7,0.9794143341358784,graduated,Ac^ --> Ac^^,BLSTM
ace,8,0.9783764441350247,graduated,Ac^ --> Ac^^,BLSTM
ace,9,0.9799926738253901,graduated,Ac^ --> Ac^^,BLSTM
ace,10,0.9778234348712517,graduated,Ac^ --> Ac^^,BLSTM
ace,11,0.982685830420108,graduated,Ac^ --> Ac^^,BLSTM
ace,12,0.9836638504008003,graduated,Ac^ --> Ac^^,BLSTM
ace,13,0.9839920779885004,graduated,Ac^ --> Ac^^,BLSTM
ace,14,0.9843552112361156,graduated,Ac^ --> Ac^^,BLSTM
ace,15,0.9845795322006421,graduated,Ac^ --> Ac^^,BLSTM
ace,16,0.9846910361340753,graduated,Ac^ --> Ac^^,BLSTM
ace,17,0.9848277456226245,graduated,Ac^ --> Ac^^,BLSTM
ace,18,0.9848417608763333,graduated,Ac^ --> Ac^^,BLSTM
ace,19,0.9851925810699098,graduated,Ac^ --> Ac^^,BLSTM
ace,20,0.9856700611299516,graduated,Ac^ --> Ac^^,BLSTM
ace,21,0.9857378670780642,graduated,Ac^ --> Ac^^,BLSTM
ace,22,0.9858314062513979,graduated,Ac^ --> Ac^^,BLSTM
ace,23,0.9860294065280859,graduated,Ac^ --> Ac^^,BLSTM
ace,24,0.9861064293927329,graduated,Ac^ --> Ac^^,BLSTM
ace,25,0.9861935157694431,graduated,Ac^ --> Ac^^,BLSTM
ace,26,0.9863026795835002,graduated,Ac^ --> Ac^^,BLSTM
ace,27,0.9863800131734848,graduated,Ac^ --> Ac^^,BLSTM
ace,28,0.9864957343160269,graduated,Ac^ --> Ac^^,BLSTM
ace,29,0.9866363505657074,graduated,Ac^ --> Ac^^,BLSTM
ace,30,0.9865420477113531,graduated,Ac^ --> Ac^^,BLSTM
ace,31,0.9016415167131021,graduated,Ac^ --> Ac^^,BLSTM
activemq,1,0.9043705285782881,graduated,Ac^ --> Ac^^,BLSTM
activemq,2,0.9895988170408916,graduated,Ac^ --> Ac^^,BLSTM
activemq,3,0.989647132124447,graduated,Ac^ --> Ac^^,BLSTM
activemq,4,0.9896049611188934,graduated,Ac^ --> Ac^^,BLSTM
activemq,5,0.9895713362882649,graduated,Ac^ --> Ac^^,BLSTM
activemq,6,0.989472560484742,graduated,Ac^ --> Ac^^,BLSTM
activemq,7,0.9894664934611928,graduated,Ac^ --> Ac^^,BLSTM
activemq,8,0.9894606917771092,graduated,Ac^ --> Ac^^,BLSTM
activemq,9,0.9894539202570455,graduated,Ac^ --> Ac^^,BLSTM
activemq,10,0.9894442182925176,graduated,Ac^ --> Ac^^,BLSTM
activemq,11,0.9894374567470297,graduated,Ac^ --> Ac^^,BLSTM
activemq,12,0.989416550049861,graduated,Ac^ --> Ac^^,BLSTM
activemq,13,0.9892043222464519,graduated,Ac^ --> Ac^^,BLSTM
activemq,14,0.904047911013804,graduated,Ac^ --> Ac^^,BLSTM
adffaces,1,0.9035335253525997,graduated,Ac^ --> Ac^^,BLSTM
adffaces,2,0.9888977723609549,graduated,Ac^ --> Ac^^,BLSTM
adffaces,3,0.989220175799288,graduated,Ac^ --> Ac^^,BLSTM
adffaces,4,0.9892544214546752,graduated,Ac^ --> Ac^^,BLSTM
adffaces,5,0.9891402896119834,graduated,Ac^ --> Ac^^,BLSTM
adffaces,6,0.9891513849495421,graduated,Ac^ --> Ac^^,BLSTM
adffaces,7,0.9890742913373857,graduated,Ac^ --> Ac^^,BLSTM
adffaces,8,0.9891123017751381,graduated,Ac^ --> Ac^^,BLSTM
adffaces,9,0.9891982739992305,graduated,Ac^ --> Ac^^,BLSTM
adffaces,10,0.989140233782377,graduated,Ac^ --> Ac^^,BLSTM
adffaces,11,0.9891151724058588,graduated,Ac^ --> Ac^^,BLSTM
adffaces,12,0.988992141244665,graduated,Ac^ --> Ac^^,BLSTM
adffaces,13,0.903778032183228,graduated,Ac^ --> Ac^^,BLSTM
agila,1,0.900193231728623,retired,Ac^ --> Ac^^,BLSTM
agila,2,0.9108447834661567,retired,Ac^ --> Ac^^,BLSTM
agila,3,0.2739434529176727,retired,Ac^ --> Ac^^,BLSTM
agila,4,0.9083858646781645,retired,Ac^ --> Ac^^,BLSTM
agila,5,0.9819713634785542,retired,Ac^ --> Ac^^,BLSTM
agila,6,0.9840336884895763,retired,Ac^ --> Ac^^,BLSTM
agila,7,0.9856658284780834,retired,Ac^ --> Ac^^,BLSTM
agila,8,0.9857016795544509,retired,Ac^ --> Ac^^,BLSTM
agila,9,0.9860718717223929,retired,Ac^ --> Ac^^,BLSTM
agila,10,0.9865939927220411,retired,Ac^ --> Ac^^,BLSTM
agila,11,0.9861727854284801,retired,Ac^ --> Ac^^,BLSTM
agila,12,0.9862879355635661,retired,Ac^ --> Ac^^,BLSTM
agila,13,0.9861038458183807,retired,Ac^ --> Ac^^,BLSTM
agila,14,0.9847481311697512,retired,Ac^ --> Ac^^,BLSTM
agila,15,0.9135190228373361,retired,Ac^ --> Ac^^,BLSTM
agila,16,0.24732723081589944,retired,Ac^ --> Ac^^,BLSTM
agila,17,0.021794357227622123,retired,Ac^ --> Ac^^,BLSTM
agila,18,0.005186315870921017,retired,Ac^ --> Ac^^,BLSTM
agila,19,0.005091777246967846,retired,Ac^ --> Ac^^,BLSTM
agila,20,0.0050429688095839365,retired,Ac^ --> Ac^^,BLSTM
agila,21,0.0050160478715493865,retired,Ac^ --> Ac^^,BLSTM
agila,22,0.00500038752358622,retired,Ac^ --> Ac^^,BLSTM
agila,23,0.004550281868145766,retired,Ac^ --> Ac^^,BLSTM
airavata,1,0.0941607958125986,graduated,Ac^ --> Ac^^,BLSTM
airavata,2,0.8926567627222384,graduated,Ac^ --> Ac^^,BLSTM
airavata,3,0.9855544642332426,graduated,Ac^ --> Ac^^,BLSTM
airavata,4,0.9876388257299211,graduated,Ac^ --> Ac^^,BLSTM
airavata,5,0.988034161384301,graduated,Ac^ --> Ac^^,BLSTM
airavata,6,0.9883394633999931,graduated,Ac^ --> Ac^^,BLSTM
airavata,7,0.9885948599527535,graduated,Ac^ --> Ac^^,BLSTM
airavata,8,0.9887273788355304,graduated,Ac^ --> Ac^^,BLSTM
airavata,9,0.9887488917107516,graduated,Ac^ --> Ac^^,BLSTM
airavata,10,0.9886999222173691,graduated,Ac^ --> Ac^^,BLSTM
airavata,11,0.9886655204890179,graduated,Ac^ --> Ac^^,BLSTM
airavata,12,0.9886977583947891,graduated,Ac^ --> Ac^^,BLSTM
airavata,13,0.9888407863235273,graduated,Ac^ --> Ac^^,BLSTM
airavata,14,0.988896718758677,graduated,Ac^ --> Ac^^,BLSTM
airavata,15,0.9888320094218223,graduated,Ac^ --> Ac^^,BLSTM
airavata,16,0.9036920126627696,graduated,Ac^ --> Ac^^,BLSTM
airflow,1,0.9032860245217468,graduated,Ac^ --> Ac^^,BLSTM
airflow,2,0.9890526132178772,graduated,Ac^ --> Ac^^,BLSTM
airflow,3,0.9891640493464882,graduated,Ac^ --> Ac^^,BLSTM
airflow,4,0.988930567276266,graduated,Ac^ --> Ac^^,BLSTM
airflow,5,0.9886801788753001,graduated,Ac^ --> Ac^^,BLSTM
airflow,6,0.9885082910108264,graduated,Ac^ --> Ac^^,BLSTM
airflow,7,0.9883713068827114,graduated,Ac^ --> Ac^^,BLSTM
airflow,8,0.9882568328446037,graduated,Ac^ --> Ac^^,BLSTM
airflow,9,0.9882347471741427,graduated,Ac^ --> Ac^^,BLSTM
airflow,10,0.9883629492833523,graduated,Ac^ --> Ac^^,BLSTM
airflow,11,0.988513756684119,graduated,Ac^ --> Ac^^,BLSTM
airflow,12,0.9884689316090414,graduated,Ac^ --> Ac^^,BLSTM
airflow,13,0.9884293326266133,graduated,Ac^ --> Ac^^,BLSTM
airflow,14,0.9883842290802173,graduated,Ac^ --> Ac^^,BLSTM
airflow,15,0.988333540594984,graduated,Ac^ --> Ac^^,BLSTM
airflow,16,0.988304023527696,graduated,Ac^ --> Ac^^,BLSTM
airflow,17,0.9884668203092776,graduated,Ac^ --> Ac^^,BLSTM
airflow,18,0.9884387284285194,graduated,Ac^ --> Ac^^,BLSTM
airflow,19,0.9884055712171123,graduated,Ac^ --> Ac^^,BLSTM
airflow,20,0.9883841534508735,graduated,Ac^ --> Ac^^,BLSTM
airflow,21,0.988509429303943,graduated,Ac^ --> Ac^^,BLSTM
airflow,22,0.9884919335548009,graduated,Ac^ --> Ac^^,BLSTM
airflow,23,0.9885195248566006,graduated,Ac^ --> Ac^^,BLSTM
airflow,24,0.9886811888706248,graduated,Ac^ --> Ac^^,BLSTM
airflow,25,0.9887140863146189,graduated,Ac^ --> Ac^^,BLSTM
airflow,26,0.9886693668278707,graduated,Ac^ --> Ac^^,BLSTM
airflow,27,0.9886433223395578,graduated,Ac^ --> Ac^^,BLSTM
airflow,28,0.9886450548896909,graduated,Ac^ --> Ac^^,BLSTM
airflow,29,0.9886271675610537,graduated,Ac^ --> Ac^^,BLSTM
airflow,30,0.9886104255698882,graduated,Ac^ --> Ac^^,BLSTM
airflow,31,0.988523875093901,graduated,Ac^ --> Ac^^,BLSTM
airflow,32,0.9034063461531319,graduated,Ac^ --> Ac^^,BLSTM
allura,1,0.9042311818321465,graduated,Ac^ --> Ac^^,BLSTM
allura,2,0.9895617517672542,graduated,Ac^ --> Ac^^,BLSTM
allura,3,0.9896208661636058,graduated,Ac^ --> Ac^^,BLSTM
allura,4,0.9895644621551434,graduated,Ac^ --> Ac^^,BLSTM
allura,5,0.9895401618810855,graduated,Ac^ --> Ac^^,BLSTM
allura,6,0.9894847991273601,graduated,Ac^ --> Ac^^,BLSTM
allura,7,0.989440682756399,graduated,Ac^ --> Ac^^,BLSTM
allura,8,0.989424342754999,graduated,Ac^ --> Ac^^,BLSTM
allura,9,0.9894011711962523,graduated,Ac^ --> Ac^^,BLSTM
allura,10,0.9893740287739785,graduated,Ac^ --> Ac^^,BLSTM
allura,11,0.9893625403024948,graduated,Ac^ --> Ac^^,BLSTM
allura,12,0.9893700748295305,graduated,Ac^ --> Ac^^,BLSTM
allura,13,0.9893628216975565,graduated,Ac^ --> Ac^^,BLSTM
allura,14,0.9893215392708519,graduated,Ac^ --> Ac^^,BLSTM
allura,15,0.9893206505477575,graduated,Ac^ --> Ac^^,BLSTM
allura,16,0.9893204264692719,graduated,Ac^ --> Ac^^,BLSTM
allura,17,0.9893223411249614,graduated,Ac^ --> Ac^^,BLSTM
allura,18,0.9893021587424532,graduated,Ac^ --> Ac^^,BLSTM
allura,19,0.9891734316443278,graduated,Ac^ --> Ac^^,BLSTM
allura,20,0.9039665068359979,graduated,Ac^ --> Ac^^,BLSTM
alois,1,0.09179241349551318,retired,Ac^ --> Ac^^,BLSTM
alois,2,0.8845446287176968,retired,Ac^ --> Ac^^,BLSTM
alois,3,0.9519140211648781,retired,Ac^ --> Ac^^,BLSTM
alois,4,0.891801103591255,retired,Ac^ --> Ac^^,BLSTM
alois,5,0.09707624192785219,retired,Ac^ --> Ac^^,BLSTM
alois,6,0.006848326437997147,retired,Ac^ --> Ac^^,BLSTM
alois,7,0.005110258551680679,retired,Ac^ --> Ac^^,BLSTM
alois,8,0.004603880025927656,retired,Ac^ --> Ac^^,BLSTM
amaterasu,1,0.08926016108094623,retired,Ac^ --> Ac^^,BLSTM
amaterasu,2,0.8087544948936978,retired,Ac^ --> Ac^^,BLSTM
amaterasu,3,0.3973906477081845,retired,Ac^ --> Ac^^,BLSTM
amaterasu,4,0.9036866573768907,retired,Ac^ --> Ac^^,BLSTM
amaterasu,5,0.9794862441265294,retired,Ac^ --> Ac^^,BLSTM
amaterasu,6,0.9831569256448873,retired,Ac^ --> Ac^^,BLSTM
amaterasu,7,0.9838935249381527,retired,Ac^ --> Ac^^,BLSTM
amaterasu,8,0.9842741354157035,retired,Ac^ --> Ac^^,BLSTM
amaterasu,9,0.9848631542507134,retired,Ac^ --> Ac^^,BLSTM
amaterasu,10,0.9853612720956885,retired,Ac^ --> Ac^^,BLSTM
amaterasu,11,0.9860464476418321,retired,Ac^ --> Ac^^,BLSTM
amaterasu,12,0.9867333109158647,retired,Ac^ --> Ac^^,BLSTM
amaterasu,13,0.9872082201878322,retired,Ac^ --> Ac^^,BLSTM
amaterasu,14,0.9864839448464371,retired,Ac^ --> Ac^^,BLSTM
amaterasu,15,0.9866081568901345,retired,Ac^ --> Ac^^,BLSTM
amaterasu,16,0.98514697239421,retired,Ac^ --> Ac^^,BLSTM
amaterasu,17,0.8991358550397368,retired,Ac^ --> Ac^^,BLSTM
amaterasu,18,0.08941622912645972,retired,Ac^ --> Ac^^,BLSTM
amaterasu,19,0.005364815259147827,retired,Ac^ --> Ac^^,BLSTM
amaterasu,20,0.005295882661113613,retired,Ac^ --> Ac^^,BLSTM
amaterasu,21,0.08825286110220121,retired,Ac^ --> Ac^^,BLSTM
amaterasu,22,0.8057405629955686,retired,Ac^ --> Ac^^,BLSTM
amaterasu,23,0.08823095452041708,retired,Ac^ --> Ac^^,BLSTM
amaterasu,24,0.004662175755001934,retired,Ac^ --> Ac^^,BLSTM
ambari,1,0.9041735256434487,graduated,Ac^ --> Ac^^,BLSTM
ambari,2,0.9894741308316427,graduated,Ac^ --> Ac^^,BLSTM
ambari,3,0.9893331729644755,graduated,Ac^ --> Ac^^,BLSTM
ambari,4,0.9893925197382649,graduated,Ac^ --> Ac^^,BLSTM
ambari,5,0.9891623130452513,graduated,Ac^ --> Ac^^,BLSTM
ambari,6,0.9049728263473512,graduated,Ac^ --> Ac^^,BLSTM
