s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
4,9.0,1,0.5833333333333333,4,0.6666666666666666,1,9,1.0,9.0,1.0,AJDT - AspectJ Development Tools Project,0,0,0.0,0.0
8,16.0,2,0.3583333333333333,6,0.2857142857142857,1,1,1.0,1.0,1.0,AJDT - AspectJ Development Tools Project,1,0,0.0,0.0833333333333333
13,18.76923076923077,1,0.5188034188034188,13,0.2179487179487179,1,193,1.0,193.0,1.0,AJDT - AspectJ Development Tools Project,2,0,0.0051546391752577,0.04
12,12.666666666666666,1,0.5408730158730158,12,0.2424242424242424,1,75,1.0,75.0,1.0,AJDT - AspectJ Development Tools Project,3,0,0.0783582089552238,0.0909090909090909
4,6.0,1,0.5833333333333333,4,0.6666666666666666,1,39,1.0,39.0,1.0,AJDT - AspectJ Development Tools Project,4,0,0.0614035087719298,0.1
0,0.0,0,0.0,0,0.0,2,201,1.0099502487562189,101.5,0.5049751243781094,AJDT - AspectJ Development Tools Project,5,0,0.0743801652892562,0.0
7,12.0,1,1.0,7,1.0,1,89,1.0,89.0,1.0,AJDT - AspectJ Development Tools Project,6,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,134,1.007462686567164,67.5,0.503731343283582,AJDT - AspectJ Development Tools Project,7,0,0.1473214285714285,0.0
0,0.0,0,0.0,0,0.0,1,69,1.0,69.0,1.0,ATL,0,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,ATL,1,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ATL,2,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,34,1.0,34.0,1.0,ATL,3,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ATL,4,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ATL,5,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ATL,6,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,ATL,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,107,1.0,107.0,1.0,Acceleo,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,132,1.0151515151515151,67.0,0.5075757575757576,Acceleo,1,0,0.0248962655601659,0.0
0,0.0,0,0.0,0,0.0,2,135,1.148148148148148,77.5,0.5740740740740741,Acceleo,2,0,0.0692041522491349,0.0
0,0.0,0,0.0,0,0.0,4,217,1.0506912442396312,57.0,0.2626728110599078,Acceleo,3,0,0.1253263707571801,0.0
0,0.0,0,0.0,0,0.0,3,33,1.0606060606060606,11.666666666666666,0.3535353535353535,Acceleo,4,0,0.0228136882129277,0.0
0,0.0,0,0.0,0,0.0,3,69,1.0579710144927537,24.33333333333333,0.3526570048309179,Acceleo,5,0,0.0277777777777777,0.0
0,0.0,0,0.0,0,0.0,2,29,1.0,14.5,0.5,Acceleo,6,0,0.088235294117647,0.0
0,0.0,0,0.0,0,0.0,2,65,1.0615384615384615,34.5,0.5307692307692308,Acceleo,7,0,0.0918367346938775,0.0
3,10.666666666666666,1,1.0,3,1.0,3,6,1.3333333333333333,2.6666666666666665,0.4444444444444444,Accessibility Tools Framework,0,0,0.0,0.0
2,2.0,1,0.0,2,1.0,1,66,1.0,66.0,1.0,Accessibility Tools Framework,1,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,591,1.0016920473773263,296.0,0.5008460236886633,Accessibility Tools Framework,2,0,0.0,0.0
4,15.0,1,0.8333333333333333,4,0.8333333333333334,3,49,1.0,16.333333333333332,0.3333333333333333,Accessibility Tools Framework,3,0,0.0546021840873634,0.0
0,0.0,0,0.0,0,0.0,4,1068,1.0056179775280898,268.5,0.2514044943820224,Accessibility Tools Framework,4,0,0.0017809439002671,0.0
0,0.0,0,0.0,0,0.0,4,41,1.024390243902439,10.5,0.2560975609756097,Accessibility Tools Framework,5,0,0.0062724014336917,0.0
7,6.857142857142857,2,0.3095238095238096,5,0.2857142857142857,4,394,1.0,98.5,0.25,Accessibility Tools Framework,6,0,0.0137614678899082,0.0
8,16.5,1,0.6845238095238095,8,0.6071428571428571,3,323,1.0464396284829722,112.66666666666669,0.348813209494324,Accessibility Tools Framework,7,0,0.0628415300546448,0.0869565217391304
2,2.0,1,0.0,2,1.0,2,175,1.0,87.5,0.5,Activation,0,0,0.0,0.0
5,2.4,2,0.0,3,0.3,0,0,0.0,0.0,0.0,Activation,1,0,0.0,0.0
4,2.0,2,0.0,2,0.3333333333333333,1,7,1.0,7.0,1.0,Activation,2,1,0.0,0.2
5,22.4,1,1.0,5,1.0,0,0,0.0,0.0,0.0,Activation,3,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,Activation,4,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Activation,5,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Activation,6,0,0.0,0.0
4,6.0,1,0.8333333333333333,4,0.8333333333333334,0,0,0.0,0.0,0.0,Activation,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,14,1.0,14.0,1.0,Amalgam,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,24,1.0,24.0,1.0,Amalgam,1,0,0.131578947368421,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,Amalgam,2,0,0.0,0.0
2,2.0,1,0.0,2,1.0,1,1081,1.0,1081.0,1.0,Amalgam,3,0,0.0009242144177449,0.0
0,0.0,0,0.0,0,0.0,1,16,1.0,16.0,1.0,Amalgam,4,0,0.0118505013673655,0.0
0,0.0,0,0.0,0,0.0,1,3,1.0,3.0,1.0,Amalgam,5,0,0.0,0.0
3,6.666666666666667,1,1.0,3,1.0,1,4,1.0,4.0,1.0,Amalgam,6,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,23,1.0,23.0,1.0,Amalgam,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,34,1.3823529411764706,23.5,0.6911764705882353,Angus,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,629,1.0,629.0,1.0,Angus,1,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Angus,2,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Angus,3,0,0.0,0.0
2,14.0,1,0.0,2,1.0,2,3,1.0,1.5,0.5,Angus,4,1,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Angus,5,0,0.0,0.0
2,2.0,1,0.0,2,1.0,1,2,1.0,2.0,1.0,Angus,6,1,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Angus,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,16,1.0,16.0,1.0,Annotations,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Annotations,1,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Annotations,2,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Annotations,3,0,0.0,0.0
2,8.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,Annotations,4,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Annotations,5,0,0.0,0.0
3,4.0,1,0.0,3,0.6666666666666666,0,0,0.0,0.0,0.0,Annotations,6,0,0.0,0.0
2,2.0,1,0.0,2,1.0,1,4,1.0,4.0,1.0,Annotations,7,0,0.0,0.0
2,2.0,1,0.0,2,1.0,2,12,1.0,6.0,0.5,AspectJ,0,1,0.0,0.0
0,0.0,0,0.0,0,0.0,1,36,1.0,36.0,1.0,AspectJ,1,0,0.0208333333333333,0.0
0,0.0,0,0.0,0,0.0,2,17,1.0,8.5,0.5,AspectJ,2,0,0.0,0.0
2,2.0,1,0.0,2,1.0,1,33,1.0,33.0,1.0,AspectJ,3,1,0.08,0.0
0,0.0,0,0.0,0,0.0,2,26,1.0,13.0,0.5,AspectJ,4,0,0.0169491525423728,0.0
0,0.0,0,0.0,0,0.0,1,39,1.0,39.0,1.0,AspectJ,5,0,0.0,0.0
3,6.666666666666667,1,0.0,3,0.6666666666666666,1,3,1.0,3.0,1.0,AspectJ,6,1,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,AspectJ,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,27,1.0,27.0,1.0,Authentication,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authentication,1,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authentication,2,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authentication,3,0,0.0,0.0
3,5.333333333333333,1,0.0,3,0.6666666666666666,2,23,1.0869565217391304,12.5,0.5434782608695652,Authentication,4,2,0.0,0.0
2,6.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,Authentication,5,0,0.0,0.3333333333333333
2,4.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,Authentication,6,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authentication,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,14,1.0,14.0,1.0,Authorization,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authorization,1,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authorization,2,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authorization,3,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,13,1.0,13.0,1.0,Authorization,4,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,Authorization,5,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Authorization,6,0,0.0,0.0
4,8.0,1,0.5833333333333333,4,0.6666666666666666,0,0,0.0,0.0,0.0,Authorization,7,0,0.0,0.0
0,0.0,0,0.0,0,0.0,29,1262,1.432646592709984,62.3448275862069,0.0494016066451718,BIRT (Business Intelligence and Reporting Tools),0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,28,698,1.3796561604584527,34.392857142857146,0.0492734343020875,BIRT (Business Intelligence and Reporting Tools),1,0,0.1046553590761458,0.0
0,0.0,0,0.0,0,0.0,30,1055,1.409478672985782,49.56666666666667,0.0469826224328594,BIRT (Business Intelligence and Reporting Tools),2,0,0.1804081632653061,0.0
2,2.0,1,0.0,2,1.0,31,691,1.4703328509406657,32.774193548387096,0.0474300919658279,BIRT (Business Intelligence and Reporting Tools),3,0,0.104274870155813,0.0
10,4.4,4,0.0,3,0.1333333333333333,21,418,1.0933014354066986,21.761904761904763,0.0520619731146046,BIRT (Business Intelligence and Reporting Tools),4,2,0.0427698574338085,0.0
6,14.0,1,1.0,6,1.0,24,389,1.115681233933162,18.08333333333333,0.0464867180805484,BIRT (Business Intelligence and Reporting Tools),5,0,0.1077441077441077,0.0
15,8.266666666666667,4,0.5,6,0.1619047619047619,21,635,1.1338582677165354,34.285714285714285,0.0539932508436445,BIRT (Business Intelligence and Reporting Tools),6,0,0.0589254766031195,0.09375
11,4.0,4,0.4848484848484848,4,0.1636363636363636,19,511,1.091976516634051,29.36842105263158,0.0574724482438974,BIRT (Business Intelligence and Reporting Tools),7,1,0.1181533646322378,0.0384615384615384
2,2.0,1,0.0,2,1.0,1,267,1.0,267.0,1.0,Batch,0,1,0.0,0.0
0,0.0,0,0.0,0,0.0,1,2,1.0,2.0,1.0,Batch,1,0,0.0037174721189591,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,Batch,2,0,0.0,0.0
