s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
222,7.279279279279279,1,0.0,222,0.009009009009009,1,34,1.0,34.0,1.0,ActionBarSherlock,0,1,0.0,0.0
30,5.6,1,0.0,30,0.0666666666666666,1,12,1.0,12.0,1.0,ActionBarSherlock,1,1,0.1521739130434782,0.048
15,4.533333333333333,1,0.0,15,0.1333333333333333,1,84,1.0,84.0,1.0,ActionBarSherlock,2,1,0.1041666666666666,0.0232558139534883
5,3.2,1,0.0,5,0.4,1,76,1.0,76.0,1.0,ActionBarSherlock,3,1,0.0625,0.0
3,4.0,1,0.0,3,0.6666666666666666,1,191,1.0,191.0,1.0,ActionBarSherlock,4,1,0.1385767790262172,0.0
7,3.4285714285714284,1,0.0,7,0.2857142857142857,1,73,1.0,73.0,1.0,ActionBarSherlock,5,1,0.1363636363636363,0.0
9,4.0,1,0.0,9,0.2222222222222222,3,23,1.173913043478261,9.0,0.391304347826087,ActionBarSherlock,6,1,0.14,0.0
2,2.0,1,0.0,2,1.0,5,61,1.098360655737705,13.4,0.2196721311475409,ActionBarSherlock,7,1,0.1595744680851064,0.0
0,0.0,0,0.0,0,0.0,3,172,1.1046511627906976,63.333333333333336,0.3682170542635659,airflow,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,46,1.2608695652173914,29.0,0.6304347826086957,airflow,1,0,0.1209677419354838,0.0
0,0.0,0,0.0,0,0.0,4,46,1.9782608695652173,22.75,0.4945652173913043,airflow,2,0,0.1610738255033557,0.0
0,0.0,0,0.0,0,0.0,4,63,1.746031746031746,27.5,0.4365079365079365,airflow,3,0,0.2039800995024875,0.0
0,0.0,0,0.0,0,0.0,3,52,1.9230769230769231,33.333333333333336,0.6410256410256411,airflow,4,0,0.2523809523809524,0.0
