Feature,ASFI,EFI,OFI,GitHub
feature_0,2.457388272,28.93053916,9.377726604,20.03740367
feature_1,10.30274956,14.85903952,-1.648105675,-4.570529522
feature_2,15.2751591,27.3721957,25.94101172,11.96296331
feature_3,1.647254351,7.976770095,13.6467278,2.422475483
feature_4,12.04238249,9.413968177,27.39885423,10.96638567
feature_5,4.065610819,3.879935299,22.16126981,10.70723927
feature_6,13.47236598,2.358807737,10.17614338,14.85342085
feature_7,14.69105534,-0.09370769143,3.376928503,10.11314651
feature_8,9.11844889,-14.56987566,-21.13327877,13.97895488
feature_9,9.31728303,-4.589193471,-2.347860864,2.400536593
feature_10,-4.094029069,4.836703616,2.284906605,13.64860862
feature_11,-3.210507518,7.69523001,6.543649948,-7.779986766
feature_12,16.56856565,11.9295875,4.222026714,1.259381439
