project,month,prediction,target,train_strategy,model_arch
AJDT - AspectJ Development Tools Project,1,0.6402981062978653,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,2,0.7017330985880115,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,3,0.6979019642247124,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,4,0.6985551655359649,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,5,0.7000893528414974,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,6,0.7056458575603289,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,7,0.6999462414978858,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,8,0.7051952630081322,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,9,0.6982081884991863,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,10,0.7020128893289055,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,11,0.6985560049502173,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,12,0.6977519748405512,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,13,0.6940264845719843,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,14,0.6941357556448741,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,15,0.6952902859655905,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,16,0.6963486255131337,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,17,0.6900536322164863,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,18,0.6911885179184266,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,19,0.6921681525501726,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,20,0.6928578241640865,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,21,0.6900435663647747,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,22,0.6915396898486871,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,23,0.6923096097170427,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,24,0.6908513437429102,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,25,0.6895018663920682,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,26,0.6879962153598217,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,27,0.6894171978127162,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,28,0.6906844921742517,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,29,0.6923452910153923,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,30,0.6916356197889324,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,31,0.6920374956125457,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,32,0.6916730727071018,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,33,0.6930219548168584,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,34,0.6900563223178224,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,35,0.6927576120225823,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,36,0.6938785509342728,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,37,0.6946364886875174,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,38,0.6923133417904817,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,39,0.6946718512625216,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,40,0.694207542105585,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,41,0.6931719935628035,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,42,0.6925894176753549,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,43,0.6935748068468868,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,44,0.6922235240049428,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,45,0.6935973732970104,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,46,0.6916874730119839,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,47,0.6936416456995697,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,48,0.693411365842645,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,49,0.6931582863559418,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,50,0.6927749552999732,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,51,0.6933376493140124,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,52,0.6927722869126381,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,53,0.6934464130884095,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,54,0.6929431523540586,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,55,0.693665689174135,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,56,0.69453534029575,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,57,0.6932414222625797,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,58,0.6934846286087771,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,59,0.694093764877402,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,60,0.6921884048510285,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,61,0.6939776724446084,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,62,0.6940642140533988,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,63,0.6931413983343685,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,64,0.6947886728178748,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,65,0.6940513304969425,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,66,0.6939071610496415,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,67,0.6945340276651016,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,68,0.6939677432755049,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,69,0.6952740672904777,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,70,0.6946289255146224,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,71,0.6944747486900478,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,72,0.6949669030287478,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,73,0.6955741643782168,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,74,0.6938093214269095,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,75,0.6951658869231224,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,76,0.6933767116668582,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,77,0.6952262389857156,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,78,0.6932808427133679,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,79,0.6937782242062566,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,80,0.6950431034008911,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,81,0.6950287255734293,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,82,0.6940971655661436,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,83,0.6949904821556693,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,84,0.6937946966357256,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,85,0.6951338660606038,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,86,0.6926781713522369,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,87,0.6942271021725139,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,88,0.6955609930807217,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,89,0.6948236804901612,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,90,0.6946178882689958,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,91,0.6954416126900651,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,92,0.6940438753130508,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,93,0.6950570580067901,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,94,0.692740849701753,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,95,0.6935977993692124,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,96,0.6958594098355955,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,97,0.6954169955044865,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,98,0.6950964827155656,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,99,0.6955615739024394,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,100,0.6950552658198812,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,101,0.6959648681536057,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,102,0.6937775527478371,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,103,0.6946613074972364,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,104,0.6960045302391255,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,105,0.6961720076458652,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,106,0.6958658856503613,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,107,0.6964318946018669,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,108,0.6960161970877216,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,109,0.6967235702111549,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,110,0.694583986166119,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,111,0.6952849897874885,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,112,0.696953273884302,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,113,0.6971146468645282,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,114,0.6966135273704279,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,115,0.6975092613485206,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,116,0.6972568736987078,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,117,0.6979966243636188,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,118,0.696105186428483,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,119,0.6967785471385255,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,120,0.6982714714755367,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,121,0.6977706693337071,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,122,0.6977644709631172,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,123,0.6985425359661315,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,124,0.6981665081502306,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,125,0.6986212588896904,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,126,0.6961669818115215,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,127,0.6970505463356774,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,128,0.6982502786579969,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,129,0.697785306688689,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,130,0.6974769721803011,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,131,0.6986632953158224,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,132,0.6982135997590956,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,133,0.698044859781553,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,134,0.6965362070293478,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,135,0.6972926634507035,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,136,0.6983708111737524,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,137,0.6980960428138632,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,138,0.6979695375367352,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,139,0.6990631497581161,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,140,0.6986711979593705,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,141,0.6986733434693025,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,142,0.6969160094581861,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,143,0.6981180482990414,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,144,0.6988325720281539,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,145,0.6989769050143062,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,146,0.6988368031186747,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,147,0.6998697424491452,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,148,0.6994306702368247,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,149,0.6992658877927508,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,150,0.6978075850110614,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,151,0.6987303650581351,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,152,0.6995955235143342,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,153,0.6998129342607855,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,154,0.6997112208430409,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,155,0.7007130146229253,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,156,0.7003202955860961,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,157,0.6998761013591355,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,158,0.6989218878757328,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,159,0.6998306771144825,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,160,0.7006778040879437,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,161,0.7008828107164417,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,162,0.7006924850697225,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,163,0.7012828077416906,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,164,0.7011364740783528,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,165,0.7005430995645725,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,166,0.7000060396340867,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,167,0.7004743231612326,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,168,0.7011769772139853,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,169,0.7011911436755308,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,170,0.701244278735208,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,171,0.7019441807571848,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,172,0.7015654088873371,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,173,0.701050102052315,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,174,0.7002670535387973,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,175,0.7005970452649759,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,176,0.7011869022937565,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,177,0.7012186078732163,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,178,0.701253868915075,retired,Ec^ --> Ec^^,DLSTM
AJDT - AspectJ Development Tools Project,179,0.6416295896291927,retired,Ec^ --> Ec^^,DLSTM
ATL,1,0.6307638358743386,graduated,Ec^ --> Ec^^,DLSTM
ATL,2,0.6911454565494981,graduated,Ec^ --> Ec^^,DLSTM
ATL,3,0.690724895120214,graduated,Ec^ --> Ec^^,DLSTM
ATL,4,0.691482842684213,graduated,Ec^ --> Ec^^,DLSTM
ATL,5,0.6903189417497999,graduated,Ec^ --> Ec^^,DLSTM
ATL,6,0.690257630076849,graduated,Ec^ --> Ec^^,DLSTM
ATL,7,0.6908799557355284,graduated,Ec^ --> Ec^^,DLSTM
ATL,8,0.6906515059677059,graduated,Ec^ --> Ec^^,DLSTM
ATL,9,0.6926931538003246,graduated,Ec^ --> Ec^^,DLSTM
ATL,10,0.6949227688312664,graduated,Ec^ --> Ec^^,DLSTM
