project,month,prediction,target,train_strategy,model_arch
deegree,1,0.7887898846996186,graduated,Oc^ --> Oc^^,DLSTM
deegree,2,0.8635955268997736,graduated,Oc^ --> Oc^^,DLSTM
deegree,3,0.8641364751611448,graduated,Oc^ --> Oc^^,DLSTM
deegree,4,0.8638708043041787,graduated,Oc^ --> Oc^^,DLSTM
deegree,5,0.8638285959567849,graduated,Oc^ --> Oc^^,DLSTM
deegree,6,0.8635694439747051,graduated,Oc^ --> Oc^^,DLSTM
deegree,7,0.8638393789570412,graduated,Oc^ --> Oc^^,DLSTM
deegree,8,0.8641237957362965,graduated,Oc^ --> Oc^^,DLSTM
deegree,9,0.8639901828417034,graduated,Oc^ --> Oc^^,DLSTM
deegree,10,0.8647307177989256,graduated,Oc^ --> Oc^^,DLSTM
deegree,11,0.8651529116974624,graduated,Oc^ --> Oc^^,DLSTM
deegree,12,0.8649484437874575,graduated,Oc^ --> Oc^^,DLSTM
deegree,13,0.8648777780881299,graduated,Oc^ --> Oc^^,DLSTM
deegree,14,0.8646788212826335,graduated,Oc^ --> Oc^^,DLSTM
deegree,15,0.8650871724099449,graduated,Oc^ --> Oc^^,DLSTM
deegree,16,0.8651630285794966,graduated,Oc^ --> Oc^^,DLSTM
deegree,17,0.8652121814127348,graduated,Oc^ --> Oc^^,DLSTM
deegree,18,0.8652455109575197,graduated,Oc^ --> Oc^^,DLSTM
deegree,19,0.8653283141777199,graduated,Oc^ --> Oc^^,DLSTM
deegree,20,0.7908276635095336,graduated,Oc^ --> Oc^^,DLSTM
gdal-ogr,1,0.7801989329384393,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,2,0.8624659340009194,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,3,0.8633817846221431,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,4,0.8634951254919344,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,5,0.8636627940307889,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,6,0.863754061808099,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,7,0.8637927110263006,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,8,0.8637382604933805,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,9,0.8641483292851073,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,10,0.864384907531321,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,11,0.8647297821191571,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,12,0.8648697673375981,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,13,0.8648537478960596,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,14,0.8651538536480161,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,15,0.86504646309257,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,16,0.8650879770552505,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,17,0.8652675436845642,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,18,0.8655775880795108,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,19,0.8657371394397202,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,20,0.8656611250221,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,21,0.8657277983446788,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,22,0.8659715894608135,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,23,0.8658153322673167,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,24,0.8657770394592564,incubating,Oc^ --> Oc^^,DLSTM
gdal-ogr,25,0.7916180012255088,incubating,Oc^ --> Oc^^,DLSTM
geomajas,1,0.7903436741685906,retired,Oc^ --> Oc^^,DLSTM
geomajas,2,0.8650526465058206,retired,Oc^ --> Oc^^,DLSTM
geomajas,3,0.8655945943308254,retired,Oc^ --> Oc^^,DLSTM
geomajas,4,0.8657030448021741,retired,Oc^ --> Oc^^,DLSTM
geomajas,5,0.8658257287092401,retired,Oc^ --> Oc^^,DLSTM
geomajas,6,0.8660455647112115,retired,Oc^ --> Oc^^,DLSTM
geomajas,7,0.8657440313435073,retired,Oc^ --> Oc^^,DLSTM
geomajas,8,0.8652742675857128,retired,Oc^ --> Oc^^,DLSTM
geomajas,9,0.865892987523368,retired,Oc^ --> Oc^^,DLSTM
geomajas,10,0.8660706308382295,retired,Oc^ --> Oc^^,DLSTM
geomajas,11,0.8668853273588449,retired,Oc^ --> Oc^^,DLSTM
geomajas,12,0.8664682301031287,retired,Oc^ --> Oc^^,DLSTM
geomajas,13,0.866670852967884,retired,Oc^ --> Oc^^,DLSTM
geomajas,14,0.8667093343284036,retired,Oc^ --> Oc^^,DLSTM
geomajas,15,0.866555464645101,retired,Oc^ --> Oc^^,DLSTM
geomajas,16,0.8664831410257008,retired,Oc^ --> Oc^^,DLSTM
geomajas,17,0.8666106874903711,retired,Oc^ --> Oc^^,DLSTM
geomajas,18,0.866469993734477,retired,Oc^ --> Oc^^,DLSTM
geomajas,19,0.8669202826471196,retired,Oc^ --> Oc^^,DLSTM
geomajas,20,0.8669925988745003,retired,Oc^ --> Oc^^,DLSTM
geomajas,21,0.8668469187385264,retired,Oc^ --> Oc^^,DLSTM
geomajas,22,0.8669516637903055,retired,Oc^ --> Oc^^,DLSTM
geomajas,23,0.8668520955733758,retired,Oc^ --> Oc^^,DLSTM
geomajas,24,0.8667909229966079,retired,Oc^ --> Oc^^,DLSTM
geomajas,25,0.8668478106158003,retired,Oc^ --> Oc^^,DLSTM
geomajas,26,0.8668644132358411,retired,Oc^ --> Oc^^,DLSTM
geomajas,27,0.8674142834336533,retired,Oc^ --> Oc^^,DLSTM
geomajas,28,0.8673139473927984,retired,Oc^ --> Oc^^,DLSTM
geomajas,29,0.867563239183415,retired,Oc^ --> Oc^^,DLSTM
geomajas,30,0.8681704545504496,retired,Oc^ --> Oc^^,DLSTM
geomajas,31,0.8682689925322056,retired,Oc^ --> Oc^^,DLSTM
geomajas,32,0.8684599689314525,retired,Oc^ --> Oc^^,DLSTM
geomajas,33,0.8680175972554132,retired,Oc^ --> Oc^^,DLSTM
geomajas,34,0.868480842263288,retired,Oc^ --> Oc^^,DLSTM
geomajas,35,0.8687152505001525,retired,Oc^ --> Oc^^,DLSTM
geomajas,36,0.8684992676864339,retired,Oc^ --> Oc^^,DLSTM
