s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
351,12.934472934472934,10,0.2712549827554903,333,0.0077981277981277,1,14,1.0,14.0,1.0,ActionBarSherlock,0,0,0.0,0.0
89,6.966292134831461,12,0.1889010077942836,64,0.0247701736465781,1,11,1.0,11.0,1.0,ActionBarSherlock,1,0,0.24,0.0364583333333333
56,6.142857142857143,10,0.1851503759398496,27,0.0357142857142857,1,72,1.0,72.0,1.0,ActionBarSherlock,2,0,0.1204819277108433,0.0197368421052631
26,5.538461538461538,5,0.1303418803418803,16,0.08,1,41,1.0,41.0,1.0,ActionBarSherlock,3,0,0.2831858407079646,0.0
36,3.6666666666666665,10,0.0,11,0.0428571428571428,1,125,1.0,125.0,1.0,ActionBarSherlock,4,0,0.2289156626506024,0.0
22,6.545454545454546,4,0.106060606060606,15,0.0822510822510822,1,73,1.0,73.0,1.0,ActionBarSherlock,5,0,0.1868686868686868,0.0
22,5.636363636363637,4,0.0,15,0.0779220779220779,3,23,1.173913043478261,9.0,0.391304347826087,ActionBarSherlock,6,0,0.14,0.0
9,4.444444444444445,3,0.2592592592592593,4,0.1944444444444444,5,61,1.098360655737705,13.4,0.2196721311475409,ActionBarSherlock,7,0,0.1595744680851064,0.04
17,4.0,6,0.0,6,0.0808823529411764,2,184,1.016304347826087,93.5,0.5081521739130435,ActionBarSherlock,8,0,0.2047244094488189,0.0
7,2.857142857142857,3,0.0,3,0.1904761904761904,2,139,1.0071942446043165,70.0,0.5035971223021583,ActionBarSherlock,9,0,0.2752293577981651,0.0
14,2.571428571428572,5,0.0,6,0.0989010989010989,2,60,1.0166666666666666,30.5,0.5083333333333333,ActionBarSherlock,10,0,0.2338308457711442,0.0
16,5.5,2,0.1279761904761904,14,0.1416666666666666,6,122,1.1557377049180328,23.5,0.1926229508196721,ActionBarSherlock,11,0,0.2524752475247525,0.0
13,2.4615384615384617,5,0.0,4,0.1025641025641025,10,153,1.0849673202614378,16.6,0.1084967320261438,ActionBarSherlock,12,0,0.3615635179153094,0.0
2,8.0,1,0.0,2,1.0,4,30,1.1,8.25,0.275,ActionBarSherlock,13,0,0.1155778894472361,0.0
2,2.0,1,0.0,2,1.0,4,20,1.15,5.75,0.2875,ActionBarSherlock,14,0,0.1607142857142857,0.0
5,3.2,2,0.0,3,0.3,4,11,1.181818181818182,3.25,0.2954545454545454,ActionBarSherlock,15,0,0.0277777777777777,0.0
2,4.0,1,0.0,2,1.0,1,26,1.0,26.0,1.0,ActionBarSherlock,16,0,0.0769230769230769,0.0
2,4.0,1,0.0,2,1.0,3,2,2.0,1.3333333333333333,0.6666666666666666,ActionBarSherlock,17,0,0.0333333333333333,0.0
0,0.0,0,0.0,0,0.0,2,17,1.5294117647058822,13.0,0.7647058823529411,ActionBarSherlock,18,0,0.0333333333333333,0.0
6,2.0,3,0.0,2,0.2,2,15,1.0,7.5,0.5,ActionBarSherlock,19,0,0.073170731707317,0.0
2,2.0,1,0.0,2,1.0,7,14,1.5,3.0,0.2142857142857142,ActionBarSherlock,20,0,0.0277777777777777,0.0
0,0.0,0,0.0,0,0.0,4,12,1.5833333333333333,4.75,0.3958333333333333,ActionBarSherlock,21,0,0.05,0.0
0,0.0,0,0.0,0,0.0,6,83,1.108433734939759,15.333333333333334,0.1847389558232931,ActionBarSherlock,22,0,0.036036036036036,0.0
2,2.0,1,0.0,2,1.0,1,67,1.0,67.0,1.0,ActionBarSherlock,23,0,0.0,0.0
0,0.0,0,0.0,0,0.0,4,8,1.375,2.75,0.34375,ActionBarSherlock,24,0,0.0,0.0
4,2.0,2,0.0,2,0.3333333333333333,1,8,1.0,8.0,1.0,ActionBarSherlock,25,0,0.1052631578947368,0.0
0,0.0,0,0.0,0,0.0,4,4,1.5,1.5,0.375,ActionBarSherlock,26,0,0.0,0.0
0,0.0,0,0.0,0,0.0,3,6,1.0,2.0,0.3333333333333333,ActionBarSherlock,27,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,14,1.0,14.0,1.0,ActionBarSherlock,28,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,29,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,30,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,31,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,32,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,33,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,34,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,35,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,36,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,37,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,38,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,39,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,40,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,41,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,42,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,43,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,44,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,45,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,46,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,47,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,48,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,49,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,50,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,51,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,52,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,53,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,54,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,55,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,56,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,57,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,58,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,59,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,60,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,61,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,62,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,ActionBarSherlock,63,0,0.0,0.0
