s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
2529,21.34756820877817,9,0.3622045286542272,2508,0.0015550625403546,3,57,1.2456140350877194,23.666666666666668,0.4152046783625731,airflow,0,0,0.0,0.0
804,10.492537313432836,37,0.1790294848162635,725,0.0034726739899506,2,38,1.3157894736842106,25.0,0.6578947368421053,airflow,1,0,0.2809917355371901,0.0556467498358502
386,7.233160621761658,37,0.106914656450577,297,0.0058677074221115,4,44,1.9772727272727275,21.75,0.4943181818181818,airflow,2,0,0.1678832116788321,0.048169556840077
263,7.224334600760456,26,0.128718452472116,190,0.0085623893420021,4,54,1.7592592592592593,23.75,0.4398148148148148,airflow,3,0,0.2362637362637362,0.0451436388508891
204,6.215686274509804,26,0.0869057086623707,145,0.0098039215686274,3,47,1.9574468085106385,30.666666666666668,0.6524822695035462,airflow,4,0,0.2566844919786096,0.0200803212851405
156,5.333333333333333,23,0.0785382122486194,93,0.0124896608767576,6,41,2.097560975609756,14.333333333333334,0.3495934959349593,airflow,5,0,0.2303370786516854,0.0282485875706214
166,6.506024096385542,18,0.1284212049912476,121,0.013143483023001,7,42,2.1904761904761907,13.142857142857142,0.3129251700680272,airflow,6,0,0.2303370786516854,0.0302114803625377
118,5.627118644067797,16,0.1049281663465427,81,0.0172388816456613,6,37,1.945945945945946,12.0,0.3243243243243243,airflow,7,0,0.2621951219512195,0.0367892976588628
100,6.04,10,0.0678394198394198,81,0.021010101010101,8,64,2.328125,18.625,0.291015625,airflow,8,0,0.1900452488687782,0.0403587443946188
81,5.481481481481482,12,0.1342800381114557,55,0.0237654320987654,15,51,3.156862745098039,10.733333333333333,0.2104575163398692,airflow,9,0,0.1354838709677419,0.0441988950276243
100,6.28,14,0.097997580850522,64,0.02,13,64,3.28125,16.153846153846153,0.2524038461538461,airflow,10,0,0.105121293800539,0.0227272727272727
72,5.444444444444445,11,0.0985728550679531,52,0.0273865414710485,19,61,2.918032786885246,9.36842105263158,0.1535806729939603,airflow,11,0,0.134020618556701,0.0355029585798816
63,6.158730158730159,10,0.1075455097864061,39,0.0312339989759344,22,61,2.377049180327869,6.590909090909091,0.1080476900149031,airflow,12,0,0.1702786377708978,0.0458015267175572
47,5.1063829787234045,7,0.0870740681490961,35,0.0434782608695652,18,72,2.5,10.0,0.1388888888888889,airflow,13,0,0.1907692307692307,0.0277777777777777
