s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
432,34.55555555555556,2,0.4243541533725349,430,0.0102474864655839,2,12,1.3333333333333333,8.0,0.6666666666666666,baker,0,2,0.0,0.0
157,12.585987261146498,3,0.2965045205725699,153,0.0195982361587457,2,6,1.1666666666666667,3.5,0.5833333333333334,baker,1,1,0.1739130434782608,0.0996649916247906
75,10.026666666666667,5,0.2719990156269226,67,0.0342342342342342,1,4,1.0,4.0,1.0,baker,2,1,0.1818181818181818,0.0835820895522388
38,11.578947368421051,4,0.2987468671679198,32,0.0654338549075391,3,14,1.2857142857142858,6.0,0.4285714285714285,baker,3,2,0.1363636363636363,0.0851063829787234
25,6.88,3,0.2346666666666666,21,0.09,5,35,1.9142857142857144,13.4,0.3828571428571428,baker,4,2,0.1411764705882353,0.0547945205479452
21,8.380952380952381,3,0.2069597069597069,16,0.0952380952380952,2,31,1.096774193548387,17.0,0.5483870967741935,baker,5,0,0.1782178217821782,0.0212765957446808
26,11.846153846153848,7,0.1983682983682983,14,0.08,5,21,1.380952380952381,5.8,0.2761904761904762,baker,6,2,0.3015873015873015,0.0869565217391304
17,12.470588235294118,4,0.1999999999999999,11,0.1176470588235294,3,21,1.238095238095238,8.666666666666666,0.4126984126984127,baker,7,2,0.3272727272727272,0.1428571428571428
12,7.666666666666667,2,0.0,10,0.1515151515151515,1,5,1.0,5.0,1.0,baker,8,1,0.1612903225806451,0.0384615384615384
7,2.857142857142857,3,0.0,3,0.1904761904761904,3,15,1.6,8.0,0.5333333333333333,baker,9,0,0.0344827586206896,0.0
20,8.6,2,0.1018181818181818,17,0.1052631578947368,5,29,2.2413793103448274,13.0,0.4482758620689655,baker,10,1,0.0449438202247191,0.0
11,4.727272727272728,1,0.0545454545454545,11,0.2,2,5,1.4,3.5,0.7,baker,11,1,0.0972222222222222,0.0
10,7.6,2,0.2047619047619047,8,0.2,2,6,1.3333333333333333,4.0,0.6666666666666666,baker,12,1,0.2666666666666666,0.05
15,21.33333333333333,1,0.4466666666666666,15,0.2,2,5,1.2,3.0,0.6,baker,13,1,0.2142857142857142,0.1333333333333333
3,9.333333333333334,1,0.0,3,0.6666666666666666,3,54,1.037037037037037,18.666666666666668,0.345679012345679,baker,14,0,0.064516129032258,0.0
3,8.0,1,0.0,3,0.6666666666666666,3,62,1.064516129032258,22.0,0.3548387096774194,baker,15,0,0.0983606557377049,0.0
7,6.857142857142857,1,0.0,7,0.3333333333333333,1,3,1.0,3.0,1.0,baker,16,0,0.0289855072463768,0.0
6,10.0,1,0.4777777777777778,6,0.4666666666666667,3,28,1.9642857142857144,18.33333333333333,0.6547619047619048,baker,17,0,0.0517241379310344,0.1428571428571428
2,4.0,1,0.0,2,1.0,4,6,2.0,3.0,0.5,baker,18,0,0.044776119402985,0.0
0,0.0,0,0.0,0,0.0,3,6,1.5,3.0,0.5,baker,19,0,0.0952380952380952,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,8,9,2.6666666666666665,3.0,0.3333333333333333,baker,20,0,0.1515151515151515,0.0
0,0.0,0,0.0,0,0.0,2,5,1.2,3.0,0.6,baker,21,0,0.1,0.0
5,4.8,1,0.5333333333333333,5,0.6,1,3,1.0,3.0,1.0,baker,22,0,0.3333333333333333,0.0
0,0.0,0,0.0,0,0.0,2,7,1.1428571428571428,4.0,0.5714285714285714,baker,23,0,0.2727272727272727,0.0
0,0.0,0,0.0,0,0.0,2,106,1.1037735849056605,58.5,0.5518867924528302,baker,24,0,0.024,0.0
0,0.0,0,0.0,0,0.0,3,19,1.4210526315789471,9.0,0.4736842105263157,baker,25,0,0.0902777777777777,0.0
2,2.0,1,0.0,2,1.0,3,24,1.2916666666666667,10.333333333333334,0.4305555555555556,baker,26,0,0.1724137931034483,0.0
2,2.0,1,0.0,2,1.0,6,29,1.6896551724137931,8.166666666666666,0.2816091954022988,baker,27,0,0.175,0.0
0,0.0,0,0.0,0,0.0,5,116,1.25,29.0,0.25,baker,28,0,0.1391752577319587,0.0
0,0.0,0,0.0,0,0.0,4,10,1.7,4.25,0.425,baker,29,0,0.0987654320987654,0.0
0,0.0,0,0.0,0,0.0,5,26,1.7692307692307692,9.2,0.3538461538461538,baker,30,0,0.1746031746031746,0.0
2,2.0,1,0.0,2,1.0,6,28,2.321428571428572,10.833333333333334,0.3869047619047619,baker,31,0,0.2432432432432432,0.0
0,0.0,0,0.0,0,0.0,4,30,2.3,17.25,0.575,baker,32,0,0.2985074626865671,0.0
0,0.0,0,0.0,0,0.0,5,74,1.5675675675675675,23.2,0.3135135135135135,baker,33,0,0.1351351351351351,0.0
0,0.0,0,0.0,0,0.0,3,51,1.0980392156862746,18.666666666666668,0.3660130718954248,baker,34,0,0.1220930232558139,0.0
0,0.0,0,0.0,0,0.0,3,72,1.4722222222222223,35.333333333333336,0.4907407407407407,baker,35,0,0.3086419753086419,0.0
0,0.0,0,0.0,0,0.0,4,14,2.0,7.0,0.5,baker,36,0,0.0223880597014925,0.0
0,0.0,0,0.0,0,0.0,5,16,1.8125,5.8,0.3625,baker,37,0,0.1403508771929824,0.0
0,0.0,0,0.0,0,0.0,4,12,1.9166666666666667,5.75,0.4791666666666667,baker,38,0,0.1346153846153846,0.0
0,0.0,0,0.0,0,0.0,5,10,2.0,4.0,0.4,baker,39,0,0.1860465116279069,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,40,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,41,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,42,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,43,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,44,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,45,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,baker,46,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,47,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,48,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,49,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,50,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,51,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,52,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,53,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,54,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,55,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,56,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,57,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,58,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,59,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,60,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,61,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,62,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,63,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,64,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,65,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,66,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,67,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,68,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,69,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,70,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,71,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,72,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,73,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,74,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,75,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,76,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,77,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,78,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,79,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,80,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,81,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,82,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,83,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,84,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,85,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,86,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,87,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,baker,88,0,0.0,0.0
