s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
349,15.43839541547278,7,0.2581826724222503,337,0.0083819121957645,1,18,1.0,18.0,1.0,docker-registry,0,0,0.0,0.0
96,10.666666666666666,8,0.2775146084074655,81,0.0260964912280701,1,7,1.0,7.0,1.0,docker-registry,1,0,0.28,0.0700636942675159
66,5.2727272727272725,10,0.1164049458167105,43,0.0284382284382284,3,18,2.055555555555556,12.333333333333334,0.6851851851851852,docker-registry,2,0,0.1363636363636363,0.0277777777777777
47,6.297872340425532,5,0.1081868640148011,39,0.0444033302497687,5,15,1.6666666666666667,5.0,0.3333333333333333,docker-registry,3,0,0.1129032258064516,0.0091743119266055
38,6.631578947368421,7,0.0789473684210526,19,0.0469416785206258,8,16,1.6875,3.375,0.2109375,docker-registry,4,0,0.1153846153846153,0.0617283950617283
18,8.222222222222221,4,0.0,7,0.0915032679738562,5,23,1.2608695652173914,5.8,0.2521739130434782,docker-registry,5,0,0.2142857142857142,0.0
21,5.523809523809524,4,0.0,9,0.0809523809523809,9,21,2.0476190476190474,4.777777777777778,0.2275132275132275,docker-registry,6,0,0.0972222222222222,0.0
17,5.882352941176471,4,0.0,10,0.0955882352941176,3,7,1.7142857142857142,4.0,0.5714285714285714,docker-registry,7,0,0.0545454545454545,0.0
10,3.2,4,0.0,4,0.1333333333333333,11,25,1.68,3.8181818181818175,0.1527272727272727,docker-registry,8,0,0.074074074074074,0.0
7,4.571428571428571,2,0.3333333333333333,5,0.2857142857142857,10,28,2.321428571428572,6.5,0.2321428571428571,docker-registry,9,0,0.205607476635514,0.0833333333333333
15,3.733333333333333,6,0.1444444444444444,5,0.0952380952380952,8,13,1.6923076923076923,2.75,0.2115384615384615,docker-registry,10,0,0.1034482758620689,0.0
4,3.0,1,0.0,4,0.5,9,48,2.1041666666666665,11.22222222222222,0.2337962962962963,docker-registry,11,0,0.08130081300813,0.0
7,5.142857142857143,3,0.0,3,0.1904761904761904,13,46,1.8695652173913044,6.615384615384615,0.1438127090301003,docker-registry,12,0,0.1229946524064171,0.0
4,2.0,2,0.0,2,0.3333333333333333,8,74,1.3783783783783785,12.75,0.1722972972972972,docker-registry,13,0,0.0585106382978723,0.0
2,2.0,1,0.0,2,1.0,6,29,2.1379310344827585,10.333333333333334,0.3563218390804598,docker-registry,14,0,0.1707317073170731,0.0
4,3.0,1,0.0,4,0.5,8,14,2.142857142857143,3.75,0.2678571428571428,docker-registry,15,0,0.0760869565217391,0.0
12,5.0,5,0.1944444444444444,4,0.1212121212121212,8,43,2.232558139534884,12.0,0.2790697674418604,docker-registry,16,0,0.0952380952380952,0.0
12,4.0,2,0.0,10,0.1666666666666666,10,21,2.095238095238096,4.4,0.2095238095238095,docker-registry,17,0,0.1357142857142857,0.0
11,3.272727272727273,5,0.0,3,0.109090909090909,6,23,2.130434782608696,8.166666666666666,0.3550724637681159,docker-registry,18,0,0.1075268817204301,0.0
2,2.0,1,0.0,2,1.0,6,6,2.333333333333333,2.333333333333333,0.3888888888888889,docker-registry,19,0,0.0476190476190476,0.0
3,4.0,1,0.0,3,0.6666666666666666,5,4,2.5,2.0,0.5,docker-registry,20,0,0.0833333333333333,0.0
2,6.0,1,0.0,2,1.0,2,9,1.2222222222222223,5.5,0.6111111111111112,docker-registry,21,0,0.1428571428571428,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,3,3,2.0,2.0,0.6666666666666666,docker-registry,22,0,0.0588235294117647,0.0
2,2.0,1,0.0,2,1.0,3,2,2.0,1.3333333333333333,0.6666666666666666,docker-registry,23,0,0.0,0.0
6,5.333333333333333,1,0.0,6,0.3333333333333333,0,0,0.0,0.0,0.0,docker-registry,24,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,25,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,1,2.0,1.0,1.0,docker-registry,26,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,27,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,28,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,29,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,30,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,31,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,32,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,33,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,34,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,35,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,docker-registry,36,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,37,0,0.0,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,0,0,0.0,0.0,0.0,docker-registry,38,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,docker-registry,39,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,40,0,0.0,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,0,0,0.0,0.0,0.0,docker-registry,41,0,0.0,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,0,0,0.0,0.0,0.0,docker-registry,42,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,43,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,44,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,45,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,docker-registry,46,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,47,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,48,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,49,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,50,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,51,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,52,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,53,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,54,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,55,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,56,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,57,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,58,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,59,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,60,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,61,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,62,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,63,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,64,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,docker-registry,65,0,0.0,0.0
