s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
1363,20.595744680851062,9,0.380621432016313,1347,0.0030413605644454,1,113,1.0,113.0,1.0,forem,0,0,0.0,0.0
376,12.893617021276595,17,0.2435520253267889,343,0.0088794326241134,3,169,1.1538461538461535,65.0,0.3846153846153846,forem,1,0,0.0,0.0704552044070745
186,10.258064516129032,7,0.1650447571240862,173,0.0153443766346992,3,133,1.2481203007518795,55.333333333333336,0.4160401002506265,forem,2,0,0.1163434903047091,0.0752808988764044
157,8.48407643312102,13,0.0781328592587491,130,0.0160868855136371,3,237,1.2151898734177216,96.0,0.4050632911392405,forem,3,0,0.1409691629955947,0.054229934924078
104,7.6923076923076925,6,0.075456194446579,90,0.0216579536967886,3,359,1.2952646239554315,155.0,0.4317548746518105,forem,4,0,0.1341301460823373,0.0447284345047923
72,5.444444444444445,6,0.0319334215167548,62,0.0277777777777777,3,234,1.141025641025641,89.0,0.3803418803418803,forem,5,0,0.1543715846994535,0.0481283422459893
80,8.35,8,0.1633401320901321,64,0.030379746835443,3,349,1.2091690544412608,140.66666666666666,0.4030563514804202,forem,6,0,0.127721335268505,0.0479041916167664
61,5.770491803278689,10,0.0628977820636451,41,0.0322404371584699,3,158,1.2531645569620251,66.0,0.4177215189873418,forem,7,0,0.0741935483870967,0.032258064516129
69,7.942028985507246,2,0.1468138946399816,65,0.0353793691389599,3,302,1.2317880794701987,124.0,0.4105960264900662,forem,8,0,0.1140350877192982,0.028169014084507
59,5.559322033898305,8,0.1288673661555017,35,0.0333138515488018,3,192,1.2447916666666667,79.66666666666667,0.4149305555555556,forem,9,0,0.1047463175122749,0.0071428571428571
50,6.16,6,0.095076923076923,39,0.0432653061224489,3,219,1.2328767123287672,90.0,0.410958904109589,forem,10,0,0.1257367387033398,0.0272727272727272
50,5.28,10,0.0036969696969696,30,0.0351020408163265,4,262,1.2061068702290076,79.0,0.3015267175572519,forem,11,0,0.1109215017064846,0.0416666666666666
41,6.634146341463414,4,0.0984707704219899,35,0.0524390243902439,3,338,1.1745562130177514,132.33333333333334,0.3915187376725838,forem,12,0,0.1009817671809256,0.0581395348837209
31,6.451612903225806,5,0.0800307219662058,14,0.0623655913978494,3,446,1.2713004484304933,189.0,0.4237668161434977,forem,13,0,0.1224066390041493,0.0694444444444444
35,5.485714285714286,2,0.2152380952380952,33,0.0638655462184873,4,458,1.2641921397379912,144.75,0.3160480349344978,forem,14,0,0.1605584642233856,0.0895522388059701
38,7.684210526315789,4,0.141812865497076,32,0.0597439544807965,3,497,1.3420523138832998,222.33333333333331,0.4473507712944333,forem,15,0,0.1500802568218298,0.025
22,4.909090909090909,6,0.0939393939393939,8,0.0735930735930736,3,393,1.2875318066157762,168.66666666666666,0.4291772688719253,forem,16,0,0.1287297527706735,0.0169491525423728
30,6.0,4,0.1142857142857142,24,0.064367816091954,3,377,1.2679045092838197,159.33333333333334,0.4226348364279398,forem,17,0,0.1290650406504065,0.0
24,5.333333333333333,4,0.1361111111111111,16,0.0833333333333333,3,263,1.1482889733840305,100.66666666666669,0.3827629911280101,forem,18,0,0.1307692307692307,0.0196078431372549
25,4.64,6,0.0,8,0.0633333333333333,3,339,1.1887905604719764,134.33333333333334,0.3962635201573254,forem,19,0,0.100709219858156,0.0
17,4.941176470588236,4,0.2588235294117647,7,0.1102941176470588,3,372,1.1908602150537635,147.66666666666666,0.3969534050179211,forem,20,0,0.1016548463356974,0.0
15,4.0,5,0.0,7,0.0952380952380952,5,541,1.1146025878003696,120.6,0.2229205175600739,forem,21,0,0.0640535372848948,0.04
15,3.2,6,0.0,5,0.0857142857142857,5,388,1.268041237113402,98.4,0.2536082474226804,forem,22,0,0.0694063926940639,0.0
26,5.076923076923077,6,0.1364468864468864,13,0.0707692307692307,6,497,1.2454728370221329,103.16666666666669,0.2075788061703554,forem,23,0,0.0828082808280828,0.03125
14,8.857142857142858,1,0.2714285714285714,14,0.1758241758241758,1,616,1.0,616.0,1.0,forem,24,0,0.0542510121457489,0.0256410256410256
6,4.666666666666667,2,0.0,4,0.2666666666666666,1,646,1.0,646.0,1.0,forem,25,0,0.2004754358161648,0.05
11,5.818181818181818,2,0.4090909090909091,9,0.2,1,796,1.0,796.0,1.0,forem,26,0,0.2357836338418862,0.0
