s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
122,7.639344262295082,11,0.1073799677280585,98,0.0163934426229508,1,34,1.0,34.0,1.0,inherited_resources,0,0,0.0,0.0
38,5.789473684210527,8,0.1934609250398724,19,0.0497866287339971,1,13,1.0,13.0,1.0,inherited_resources,1,0,0.2553191489361702,0.0192307692307692
9,3.111111111111111,4,0.0,3,0.1388888888888889,1,35,1.0,35.0,1.0,inherited_resources,2,0,0.2708333333333333,0.0
14,4.285714285714286,5,0.0,5,0.0989010989010989,1,13,1.0,13.0,1.0,inherited_resources,3,0,0.25,0.0
9,2.6666666666666665,3,0.0,4,0.1666666666666666,0,0,0.0,0.0,0.0,inherited_resources,4,0,0.0,0.0
6,3.333333333333333,2,0.0,4,0.2666666666666666,1,12,1.0,12.0,1.0,inherited_resources,5,0,0.0,0.0
4,4.0,1,0.0,4,0.5,1,20,1.0,20.0,1.0,inherited_resources,6,0,0.25,0.0
6,2.6666666666666665,3,0.0,2,0.2,1,23,1.0,23.0,1.0,inherited_resources,7,0,0.3023255813953488,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,inherited_resources,8,0,0.0416666666666666,0.0
2,4.0,1,0.0,2,1.0,1,11,1.0,11.0,1.0,inherited_resources,9,0,0.0833333333333333,0.0
3,4.0,1,0.0,3,0.6666666666666666,2,26,1.1153846153846154,14.5,0.5576923076923077,inherited_resources,10,0,0.2,0.0
0,0.0,0,0.0,0,0.0,1,3,1.0,3.0,1.0,inherited_resources,11,0,0.09375,0.0
2,2.0,1,0.0,2,1.0,1,19,1.0,19.0,1.0,inherited_resources,12,0,0.1363636363636363,0.0
0,0.0,0,0.0,0,0.0,2,9,1.0,4.5,0.5,inherited_resources,13,0,0.1785714285714285,0.0
0,0.0,0,0.0,0,0.0,1,3,1.0,3.0,1.0,inherited_resources,14,0,0.1666666666666666,0.0
0,0.0,0,0.0,0,0.0,1,7,1.0,7.0,1.0,inherited_resources,15,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,inherited_resources,16,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,inherited_resources,17,0,0.0,0.0
2,2.0,1,0.0,2,1.0,1,16,1.0,16.0,1.0,inherited_resources,18,0,0.0,0.0
