s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
534,12.097378277153558,24,0.2097672462192345,484,0.0051928522742444,3,34,1.6176470588235294,18.33333333333333,0.5392156862745098,meteor-up,0,0,0.0,0.0
147,5.333333333333333,27,0.0287561110924939,87,0.0120212468549063,2,5,2.0,5.0,1.0,meteor-up,1,0,0.1384615384615384,0.0276497695852534
72,6.333333333333333,15,0.1807359307359307,29,0.0254303599374021,2,7,1.7142857142857142,6.0,0.8571428571428571,meteor-up,2,0,0.2272727272727272,0.0103092783505154
52,6.538461538461538,11,0.2114219114219114,14,0.0384615384615384,2,18,1.9444444444444444,17.5,0.9722222222222222,meteor-up,3,0,0.0851063829787234,0.0172413793103448
33,4.0,10,0.2727272727272727,11,0.0492424242424242,1,1,1.0,1.0,1.0,meteor-up,4,0,0.0277777777777777,0.0259740259740259
27,4.0,8,0.0,10,0.0541310541310541,3,3,1.3333333333333333,1.3333333333333333,0.4444444444444444,meteor-up,5,0,0.0,0.0
28,5.428571428571429,6,0.0833333333333333,14,0.0608465608465608,0,0,0.0,0.0,0.0,meteor-up,6,0,0.0,0.0
20,4.0,7,0.1083333333333333,5,0.0736842105263157,1,2,1.0,2.0,1.0,meteor-up,7,0,0.0,0.0
9,3.555555555555556,3,0.3333333333333333,4,0.1944444444444444,3,7,2.2857142857142856,5.333333333333333,0.7619047619047619,meteor-up,8,0,0.1111111111111111,0.0476190476190476
9,2.6666666666666665,3,0.0,5,0.1666666666666666,4,3,2.0,1.5,0.5,meteor-up,9,0,0.0909090909090909,0.0
7,2.2857142857142856,3,0.0,3,0.1904761904761904,2,3,2.0,3.0,1.0,meteor-up,10,0,0.3333333333333333,0.0
5,3.2,2,0.0,3,0.3,2,1,2.0,1.0,1.0,meteor-up,11,0,0.25,0.0
5,8.8,2,0.0,3,0.3,0,0,0.0,0.0,0.0,meteor-up,12,0,0.0,0.0
7,2.857142857142857,3,0.0,3,0.1904761904761904,0,0,0.0,0.0,0.0,meteor-up,13,0,0.0,0.0
4,2.0,2,0.0,2,0.3333333333333333,2,12,1.25,7.5,0.625,meteor-up,14,0,0.0,0.0
6,2.6666666666666665,2,0.0,4,0.2666666666666666,3,34,1.0588235294117647,12.0,0.3529411764705882,meteor-up,15,0,0.2156862745098039,0.0
4,2.0,2,0.0,2,0.3333333333333333,2,9,1.0,4.5,0.5,meteor-up,16,0,0.1333333333333333,0.0
0,0.0,0,0.0,0,0.0,1,34,1.0,34.0,1.0,meteor-up,17,0,0.1860465116279069,0.0
5,4.0,2,0.0,3,0.3,1,38,1.0,38.0,1.0,meteor-up,18,0,0.3194444444444444,0.0
5,2.4,2,0.0,3,0.3,1,51,1.0,51.0,1.0,meteor-up,19,0,0.2921348314606741,0.0
0,0.0,0,0.0,0,0.0,3,65,1.7692307692307692,38.333333333333336,0.5897435897435898,meteor-up,20,0,0.1626506024096385,0.0
0,0.0,0,0.0,0,0.0,4,21,1.0952380952380951,5.75,0.2738095238095238,meteor-up,21,0,0.1014492753623188,0.0
4,2.0,2,0.0,2,0.3333333333333333,2,43,1.0,21.5,0.5,meteor-up,22,0,0.2575757575757575,0.0
0,0.0,0,0.0,0,0.0,6,11,1.7272727272727273,3.1666666666666665,0.2878787878787879,meteor-up,23,0,0.1290322580645161,0.0
4,2.0,2,0.0,2,0.3333333333333333,1,1,1.0,1.0,1.0,meteor-up,24,0,0.05,0.0
4,4.0,1,0.0,4,0.5,2,18,1.3888888888888888,12.5,0.6944444444444444,meteor-up,25,0,0.0,0.0
2,2.0,1,0.0,2,1.0,5,45,1.711111111111111,15.4,0.3422222222222222,meteor-up,26,0,0.1274509803921568,0.0
0,0.0,0,0.0,0,0.0,3,17,1.2941176470588236,7.333333333333333,0.4313725490196078,meteor-up,27,0,0.1111111111111111,0.0
0,0.0,0,0.0,0,0.0,3,19,1.2105263157894737,7.666666666666667,0.4035087719298245,meteor-up,28,0,0.3111111111111111,0.0
0,0.0,0,0.0,0,0.0,1,10,1.0,10.0,1.0,meteor-up,29,0,0.1212121212121212,0.0
0,0.0,0,0.0,0,0.0,3,15,1.6666666666666667,8.333333333333334,0.5555555555555556,meteor-up,30,0,0.1714285714285714,0.0
0,0.0,0,0.0,0,0.0,2,37,1.7567567567567568,32.5,0.8783783783783784,meteor-up,31,0,0.2111111111111111,0.0
4,2.0,2,0.0,2,0.3333333333333333,1,8,1.0,8.0,1.0,meteor-up,32,0,0.0821917808219178,0.0
0,0.0,0,0.0,0,0.0,2,8,1.0,4.0,0.5,meteor-up,33,0,0.3125,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,34,0,0.0,0.0
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,meteor-up,35,0,0.0,0.0
0,0.0,0,0.0,0,0.0,3,11,1.4545454545454546,5.333333333333333,0.4848484848484848,meteor-up,36,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,meteor-up,37,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,34,1.0,34.0,1.0,meteor-up,38,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,39,0,0.0,0.0
0,0.0,0,0.0,0,0.0,3,18,2.0,12.0,0.6666666666666666,meteor-up,40,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,2,1.5,1.5,0.75,meteor-up,41,0,0.0256410256410256,0.0
0,0.0,0,0.0,0,0.0,1,10,1.0,10.0,1.0,meteor-up,42,0,0.0769230769230769,0.0
0,0.0,0,0.0,0,0.0,1,6,1.0,6.0,1.0,meteor-up,43,0,0.1875,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,44,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,45,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,meteor-up,46,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,47,0,0.0,0.0
2,4.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,meteor-up,48,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,15,1.0,15.0,1.0,meteor-up,49,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,15,1.0,15.0,1.0,meteor-up,50,0,0.2666666666666666,0.0
0,0.0,0,0.0,0,0.0,1,11,1.0,11.0,1.0,meteor-up,51,0,0.3076923076923077,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,52,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,41,1.5365853658536586,31.5,0.7682926829268293,meteor-up,53,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,79,1.2531645569620251,49.5,0.6265822784810127,meteor-up,54,0,0.1728395061728395,0.0
0,0.0,0,0.0,0,0.0,1,13,1.0,13.0,1.0,meteor-up,55,0,0.0178571428571428,0.0
0,0.0,0,0.0,0,0.0,1,3,1.0,3.0,1.0,meteor-up,56,0,0.125,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,57,0,0.0,0.0
2,8.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,meteor-up,58,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,59,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,17,1.2941176470588236,11.0,0.6470588235294118,meteor-up,60,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,61,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,62,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,9,1.0,4.5,0.5,meteor-up,63,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,64,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,meteor-up,65,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,66,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,67,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,68,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,17,1.6470588235294117,14.0,0.8235294117647058,meteor-up,69,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,1,1.0,1.0,1.0,meteor-up,70,0,0.0344827586206896,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,71,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,72,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,73,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,2,1.0,2.0,1.0,meteor-up,74,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,meteor-up,75,0,0.0,0.0
