s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
205,23.492682926829268,1,0.1413356976739686,205,0.0108082257293161,1,1,1.0,1.0,1.0,neocomplcache.vim,0,0,0.0,0.0
34,16.823529411764707,2,0.2790538437597261,32,0.071301247771836,1,1,1.0,1.0,1.0,neocomplcache.vim,1,0,0.5,0.0789473684210526
8,7.0,2,0.0,5,0.2142857142857142,1,2,1.0,2.0,1.0,neocomplcache.vim,2,0,0.3333333333333333,0.0434782608695652
4,2.0,2,0.0,2,0.3333333333333333,1,6,1.0,6.0,1.0,neocomplcache.vim,3,0,0.25,0.25
0,0.0,0,0.0,0,0.0,1,5,1.0,5.0,1.0,neocomplcache.vim,4,0,0.4545454545454545,0.0
6,6.666666666666667,2,0.0,4,0.2666666666666666,1,3,1.0,3.0,1.0,neocomplcache.vim,5,0,0.375,0.0
0,0.0,0,0.0,0,0.0,1,2,1.0,2.0,1.0,neocomplcache.vim,6,0,0.4,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,1,5,1.0,5.0,1.0,neocomplcache.vim,7,0,0.2857142857142857,0.0
4,15.0,1,0.0,4,0.5,1,10,1.0,10.0,1.0,neocomplcache.vim,8,0,0.3333333333333333,0.0
4,5.0,1,0.0,4,0.5,1,10,1.0,10.0,1.0,neocomplcache.vim,9,0,0.45,0.1666666666666666
6,2.6666666666666665,2,0.0,4,0.2666666666666666,1,10,1.0,10.0,1.0,neocomplcache.vim,10,0,0.4,0.0
3,5.333333333333333,1,0.0,3,0.6666666666666666,2,13,1.0769230769230769,7.0,0.5384615384615384,neocomplcache.vim,11,0,0.4166666666666667,0.0
3,20.0,1,0.0,3,0.6666666666666666,1,13,1.0,13.0,1.0,neocomplcache.vim,12,0,0.4444444444444444,0.0
0,0.0,0,0.0,0,0.0,1,9,1.0,9.0,1.0,neocomplcache.vim,13,0,0.3636363636363636,0.0
4,18.0,1,0.0,4,0.5,2,6,1.3333333333333333,4.0,0.6666666666666666,neocomplcache.vim,14,1,0.0,0.0
0,0.0,0,0.0,0,0.0,2,11,1.6363636363636365,9.0,0.8181818181818182,neocomplcache.vim,15,0,0.1923076923076923,0.0
0,0.0,0,0.0,0,0.0,2,14,1.5714285714285714,11.0,0.7857142857142857,neocomplcache.vim,16,0,0.375,0.0
2,4.0,1,0.0,2,1.0,2,16,2.0,16.0,1.0,neocomplcache.vim,17,1,0.4074074074074074,0.0
2,2.0,1,0.0,2,1.0,2,18,1.0555555555555556,9.5,0.5277777777777778,neocomplcache.vim,18,0,0.3137254901960784,0.0
0,0.0,0,0.0,0,0.0,1,12,1.0,12.0,1.0,neocomplcache.vim,19,0,0.3870967741935484,0.0
2,2.0,1,0.0,2,1.0,2,12,1.0833333333333333,6.5,0.5416666666666666,neocomplcache.vim,20,0,0.36,0.0
0,0.0,0,0.0,0,0.0,1,7,1.0,7.0,1.0,neocomplcache.vim,21,0,0.25,0.0
0,0.0,0,0.0,0,0.0,1,2,1.0,2.0,1.0,neocomplcache.vim,22,0,0.2222222222222222,0.0
0,0.0,0,0.0,0,0.0,1,6,1.0,6.0,1.0,neocomplcache.vim,23,0,0.25,0.0
0,0.0,0,0.0,0,0.0,2,11,1.0909090909090908,6.0,0.5454545454545454,neocomplcache.vim,24,0,0.2777777777777778,0.0
0,0.0,0,0.0,0,0.0,1,8,1.0,8.0,1.0,neocomplcache.vim,25,0,0.3,0.0
0,0.0,0,0.0,0,0.0,1,9,1.0,9.0,1.0,neocomplcache.vim,26,0,0.1764705882352941,0.0
2,2.0,1,0.0,2,1.0,1,19,1.0,19.0,1.0,neocomplcache.vim,27,0,0.3214285714285714,0.0
2,2.0,1,0.0,2,1.0,3,7,1.2857142857142858,3.0,0.4285714285714285,neocomplcache.vim,28,0,0.25,0.0
0,0.0,0,0.0,0,0.0,3,27,1.0740740740740742,9.666666666666666,0.3580246913580246,neocomplcache.vim,29,0,0.1842105263157894,0.0
0,0.0,0,0.0,0,0.0,3,12,1.1666666666666667,4.666666666666667,0.3888888888888889,neocomplcache.vim,30,0,0.2325581395348837,0.0
0,0.0,0,0.0,0,0.0,1,13,1.0,13.0,1.0,neocomplcache.vim,31,0,0.3703703703703703,0.0
0,0.0,0,0.0,0,0.0,1,20,1.0,20.0,1.0,neocomplcache.vim,32,0,0.3939393939393939,0.0
2,2.0,1,0.0,2,1.0,1,14,1.0,14.0,1.0,neocomplcache.vim,33,0,0.3823529411764705,0.0
0,0.0,0,0.0,0,0.0,1,22,1.0,22.0,1.0,neocomplcache.vim,34,0,0.1666666666666666,0.0
2,4.0,1,0.0,2,1.0,1,7,1.0,7.0,1.0,neocomplcache.vim,35,0,0.1034482758620689,0.0
0,0.0,0,0.0,0,0.0,1,10,1.0,10.0,1.0,neocomplcache.vim,36,0,0.2941176470588235,0.0
0,0.0,0,0.0,0,0.0,1,34,1.0,34.0,1.0,neocomplcache.vim,37,0,0.2272727272727272,0.0
0,0.0,0,0.0,0,0.0,1,32,1.0,32.0,1.0,neocomplcache.vim,38,0,0.4090909090909091,0.0
0,0.0,0,0.0,0,0.0,1,26,1.0,26.0,1.0,neocomplcache.vim,39,0,0.3793103448275862,0.0
0,0.0,0,0.0,0,0.0,1,10,1.0,10.0,1.0,neocomplcache.vim,40,0,0.1666666666666666,0.0
0,0.0,0,0.0,0,0.0,4,6,1.5,2.25,0.375,neocomplcache.vim,41,0,0.3157894736842105,0.0
0,0.0,0,0.0,0,0.0,1,4,1.0,4.0,1.0,neocomplcache.vim,42,0,0.2307692307692307,0.0
0,0.0,0,0.0,0,0.0,4,29,1.103448275862069,8.0,0.2758620689655172,neocomplcache.vim,43,0,0.1111111111111111,0.0
0,0.0,0,0.0,0,0.0,5,14,2.142857142857143,6.0,0.4285714285714285,neocomplcache.vim,44,0,0.1612903225806451,0.0
0,0.0,0,0.0,0,0.0,4,14,2.071428571428572,7.25,0.5178571428571429,neocomplcache.vim,45,0,0.4406779661016949,0.0
0,0.0,0,0.0,0,0.0,3,9,1.2222222222222223,3.6666666666666665,0.4074074074074074,neocomplcache.vim,46,0,0.225,0.0
0,0.0,0,0.0,0,0.0,2,20,1.05,10.5,0.525,neocomplcache.vim,47,0,0.28125,0.0
0,0.0,0,0.0,0,0.0,1,4,1.0,4.0,1.0,neocomplcache.vim,48,0,0.16,0.0
2,2.0,1,0.0,2,1.0,1,3,1.0,3.0,1.0,neocomplcache.vim,49,0,0.2857142857142857,0.0
0,0.0,0,0.0,0,0.0,1,13,1.0,13.0,1.0,neocomplcache.vim,50,0,0.125,0.0
0,0.0,0,0.0,0,0.0,3,31,1.1290322580645162,11.666666666666666,0.3763440860215054,neocomplcache.vim,51,0,0.2083333333333333,0.0
0,0.0,0,0.0,0,0.0,3,24,1.0833333333333333,8.666666666666666,0.3611111111111111,neocomplcache.vim,52,0,0.2786885245901639,0.0
0,0.0,0,0.0,0,0.0,3,11,1.181818181818182,4.333333333333333,0.3939393939393939,neocomplcache.vim,53,0,0.1538461538461538,0.0
0,0.0,0,0.0,0,0.0,4,11,1.0909090909090908,3.0,0.2727272727272727,neocomplcache.vim,54,0,0.16,0.0
0,0.0,0,0.0,0,0.0,1,9,1.0,9.0,1.0,neocomplcache.vim,55,0,0.1428571428571428,0.0
0,0.0,0,0.0,0,0.0,1,9,1.0,9.0,1.0,neocomplcache.vim,56,0,0.1111111111111111,0.0
0,0.0,0,0.0,0,0.0,1,2,1.0,2.0,1.0,neocomplcache.vim,57,0,0.0909090909090909,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,58,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,59,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,60,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,61,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,62,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,63,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,neocomplcache.vim,64,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,1,2.0,1.0,1.0,neocomplcache.vim,65,0,0.0,0.0
