s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
6968,30.694603903559127,31,0.3748275261006123,6905,0.0007743162492953,1,5,1.0,5.0,1.0,node,0,0,0.0,0.0
1649,16.291085506367494,64,0.2238509822735272,1496,0.0024419035955889,1,22,1.0,22.0,1.0,node,1,0,0.074074074074074,0.0638990638990639
763,10.076015727391876,73,0.1596385083818642,582,0.0040109665190933,1,514,1.0,514.0,1.0,node,2,0,0.0335820895522388,0.0684656556645851
538,8.921933085501859,54,0.0991752830532993,401,0.0050673921621565,1,284,1.0,284.0,1.0,node,3,0,0.2305764411027568,0.0563751317175974
412,9.009708737864075,41,0.1518618759730773,304,0.0065551697257458,2,568,1.227112676056338,348.5,0.613556338028169,node,4,0,0.2130479102956167,0.052059052059052
402,8.696517412935323,41,0.1140812314413477,305,0.0064639396533541,1,266,1.0,266.0,1.0,node,5,0,0.1806853582554517,0.0641263940520446
364,8.208791208791208,41,0.151415121001417,264,0.0070232797505524,1,245,1.0,245.0,1.0,node,6,0,0.2681017612524461,0.0436548223350253
341,7.190615835777126,32,0.1111258536496493,262,0.0071588752803174,4,266,1.3270676691729324,88.25,0.3317669172932331,node,7,0,0.1872909698996655,0.0375426621160409
266,5.894736842105263,37,0.11268891980631,177,0.0079443892750744,1,401,1.0,401.0,1.0,node,8,0,0.176392572944297,0.0230215827338129
239,7.280334728033472,29,0.08261417507839,172,0.0098801026686825,1,262,1.0,262.0,1.0,node,9,0,0.2654600301659125,0.0445632798573975
214,6.373831775700935,34,0.1112918619927965,136,0.0103110877100609,1,302,1.0,302.0,1.0,node,10,0,0.2411347517730496,0.0174418604651162
192,6.666666666666667,31,0.0952682932802018,120,0.0111801919720767,2,218,1.0091743119266054,110.0,0.5045871559633027,node,11,0,0.2298850574712643,0.0318181818181818
197,6.6395939086294415,29,0.1500055556400734,137,0.0116026105873821,1,407,1.0,407.0,1.0,node,12,0,0.2631578947368421,0.0303030303030303
161,7.304347826086956,22,0.1380433069143335,111,0.0144409937888198,2,517,1.0058027079303675,260.0,0.5029013539651838,node,13,0,0.3182308522114347,0.0390243902439024
167,6.251497005988024,27,0.1441021387129171,103,0.0129139311737969,2,475,1.7578947368421052,417.5,0.8789473684210526,node,14,0,0.1933579335793357,0.0301369863013698
156,6.256410256410256,28,0.1210167944281656,94,0.0124896608767576,1,364,1.0,364.0,1.0,node,15,0,0.1701417848206839,0.0272727272727272
148,6.1891891891891895,28,0.1734251425040898,77,0.0139731568302996,1,414,1.0,414.0,1.0,node,16,0,0.2455012853470437,0.033003300330033
142,6.647887323943662,28,0.1037938155247273,69,0.0133852761961841,2,374,1.0080213903743316,188.5,0.5040106951871658,node,17,0,0.2857142857142857,0.0314685314685314
124,7.064516129032258,15,0.1786255411255411,92,0.0177025963808025,1,284,1.0,284.0,1.0,node,18,0,0.2435703479576399,0.0223048327137546
113,7.008849557522124,15,0.1464825243586305,78,0.0195954487989886,1,308,1.0,308.0,1.0,node,19,0,0.2280405405405405,0.027027027027027
135,6.607407407407408,16,0.0967219974409516,97,0.0161415146489773,1,408,1.0,408.0,1.0,node,20,0,0.2723463687150838,0.0148148148148148
102,5.96078431372549,16,0.1483403610998766,65,0.0203843913803145,2,322,1.0124223602484472,163.0,0.5062111801242236,node,21,0,0.2561307901907357,0.0119521912350597
