s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
125,5.12,23,0.0601720853858784,66,0.0144516129032258,1,74,1.0,74.0,1.0,social-app-django,0,0,0.0,0.0
27,5.925925925925926,5,0.2024691358024691,10,0.074074074074074,1,13,1.0,13.0,1.0,social-app-django,1,0,0.1149425287356321,0.0072463768115942
10,3.2,5,0.0,2,0.1111111111111111,1,74,1.0,74.0,1.0,social-app-django,2,0,0.1149425287356321,0.0
5,2.4,2,0.0,3,0.3,2,120,1.0083333333333333,60.5,0.5041666666666667,social-app-django,3,0,0.3282051282051282,0.0
2,2.0,1,0.0,2,1.0,3,32,1.21875,13.0,0.40625,social-app-django,4,0,0.15,0.0
6,2.6666666666666665,3,0.0,2,0.2,4,19,1.4210526315789471,6.75,0.3552631578947368,social-app-django,5,0,0.1515151515151515,0.0
6,2.6666666666666665,3,0.0,2,0.2,3,14,1.1428571428571428,5.333333333333333,0.3809523809523809,social-app-django,6,0,0.1860465116279069,0.0
6,4.0,3,0.0,2,0.2,2,19,1.0526315789473684,10.0,0.5263157894736842,social-app-django,7,0,0.1111111111111111,0.0
6,6.0,3,0.0,2,0.2,1,39,1.0,39.0,1.0,social-app-django,8,0,0.135593220338983,0.0
2,2.0,1,0.0,2,1.0,4,152,1.144736842105263,43.5,0.2861842105263157,social-app-django,9,0,0.1126760563380281,0.0
0,0.0,0,0.0,0,0.0,8,24,1.3333333333333333,4.0,0.1666666666666666,social-app-django,10,0,0.0922330097087378,0.0
0,0.0,0,0.0,0,0.0,13,85,1.388235294117647,9.076923076923077,0.106787330316742,social-app-django,11,0,0.1333333333333333,0.0
0,0.0,0,0.0,0,0.0,9,17,1.4705882352941178,2.7777777777777777,0.1633986928104575,social-app-django,12,0,0.0699300699300699,0.0
6,5.333333333333333,2,0.5,3,0.3333333333333333,11,28,1.8214285714285716,4.636363636363637,0.1655844155844155,social-app-django,13,0,0.0921052631578947,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,8,157,1.617834394904459,31.75,0.2022292993630573,social-app-django,14,0,0.0885245901639344,0.0
0,0.0,0,0.0,0,0.0,10,28,1.3214285714285714,3.7,0.1321428571428571,social-app-django,15,0,0.0721649484536082,0.0
5,4.0,2,0.0,3,0.3,7,59,1.152542372881356,9.714285714285714,0.1646489104116222,social-app-django,16,0,0.0666666666666666,0.0
2,2.0,1,0.0,2,1.0,12,36,1.4722222222222223,4.416666666666667,0.1226851851851851,social-app-django,17,0,0.0991735537190082,0.0
0,0.0,0,0.0,0,0.0,6,60,1.0333333333333334,10.333333333333334,0.1722222222222222,social-app-django,18,0,0.2,0.0
0,0.0,0,0.0,0,0.0,8,14,1.5714285714285714,2.75,0.1964285714285714,social-app-django,19,0,0.0595238095238095,0.0
0,0.0,0,0.0,0,0.0,8,19,1.5263157894736843,3.625,0.1907894736842105,social-app-django,20,0,0.0588235294117647,0.0
0,0.0,0,0.0,0,0.0,10,43,1.627906976744186,7.0,0.1627906976744186,social-app-django,21,0,0.0909090909090909,0.0
2,2.0,1,0.0,2,1.0,9,34,1.3235294117647058,5.0,0.1470588235294117,social-app-django,22,0,0.0434782608695652,0.0
2,2.0,1,0.0,2,1.0,8,30,1.2,4.5,0.15,social-app-django,23,0,0.1358024691358024,0.0
0,0.0,0,0.0,0,0.0,2,2,1.0,1.0,0.5,social-app-django,24,0,0.0,0.0
0,0.0,0,0.0,0,0.0,9,14,1.2857142857142858,2.0,0.1428571428571428,social-app-django,25,0,0.05,0.0
0,0.0,0,0.0,0,0.0,12,159,1.3144654088050314,17.416666666666668,0.1095387840670859,social-app-django,26,0,0.0088105726872246,0.0
0,0.0,0,0.0,0,0.0,15,57,1.736842105263158,6.6,0.1157894736842105,social-app-django,27,0,0.0324675324675324,0.0
0,0.0,0,0.0,0,0.0,6,50,1.1,9.166666666666666,0.1833333333333333,social-app-django,28,0,0.0714285714285714,0.0
