s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
17808,18.479559748427672,140,0.3197887789096389,17492,0.000241987677499,5,891,1.32996632996633,237.0,0.265993265993266,tensorflow,0,0,0.0,0.0
6384,11.135338345864662,314,0.1783542282018015,5601,0.0004762807849955,30,535,1.3588785046728973,24.23333333333333,0.0452959501557632,tensorflow,1,0,0.1474895397489539,0.052775004160426
3313,7.568970721400543,344,0.1277892117742421,2350,0.0007256219460447,29,1262,1.98256735340729,86.27586206896552,0.0683643914968031,tensorflow,2,0,0.1179931867451223,0.0412130069419071
2404,7.146422628951747,286,0.113874516532005,1584,0.0009586602437468,34,984,2.6890243902439024,77.82352941176471,0.0790889526542324,tensorflow,3,0,0.1148018648018648,0.0408888888888888
1956,6.525562372188139,289,0.1152810912273984,1171,0.0010868257679171,48,857,4.554259043173862,81.3125,0.0948803967327888,tensorflow,4,0,0.130096197892808,0.0381679389312977
1632,5.982843137254902,279,0.1149243517280282,847,0.0012330039311862,23,920,3.008695652173913,120.34782608695652,0.130812854442344,tensorflow,5,0,0.124718932693749,0.0328045173433718
1354,5.621861152141802,251,0.0876709930149079,692,0.0014225185893593,26,828,2.902173913043478,92.42307692307692,0.1116220735785953,tensorflow,6,0,0.1320827692902726,0.03125
1090,5.592660550458716,202,0.1068506556532487,546,0.0017472472851955,31,1518,2.6699604743083003,130.74193548387098,0.0861277572357516,tensorflow,7,0,0.1112143742255266,0.0354700854700854
927,5.415318230852211,198,0.1001043811132499,423,0.001973434358261,29,956,3.4278242677824267,113.0,0.1182008368200836,tensorflow,8,0,0.1414733969986357,0.0355626326963906
819,5.196581196581197,178,0.0832918826344378,374,0.0021763077997796,30,1263,3.795724465558195,159.8,0.1265241488519398,tensorflow,9,0,0.1262544913889233,0.0304568527918781
800,5.165,170,0.0899788621788428,372,0.0022559449311639,23,1641,3.2870201096892138,234.5217391304348,0.1429139178125745,tensorflow,10,0,0.137122104436592,0.0282758620689655
725,5.3517241379310345,167,0.099533329738727,278,0.0024233187273766,45,1444,3.629501385041552,116.46666666666668,0.0806555863342567,tensorflow,11,0,0.1381288199341796,0.028002947678703
649,4.998459167950694,157,0.0793796883935558,251,0.0026346325781354,36,1305,4.396934865900383,159.38888888888889,0.1221370796083439,tensorflow,12,0,0.1265142544858365,0.0319327731092436
601,5.29783693843594,139,0.0862276219718218,240,0.0028729894620077,24,1469,3.600408441116406,220.375,0.1500170183798502,tensorflow,13,0,0.1511743901333091,0.0298507462686567
462,5.6017316017316015,101,0.105694480942762,195,0.0038782620127522,24,1548,3.354005167958656,216.33333333333331,0.1397502153316107,tensorflow,14,0,0.1137296059536303,0.0418904403866809
434,5.0046082949308754,116,0.1023297635599779,136,0.0037781632805099,40,1593,3.2203389830508478,128.25,0.0805084745762711,tensorflow,15,0,0.1300135632629335,0.0390625
410,4.917073170731707,109,0.0847527485033289,153,0.0039358339793666,51,1634,3.2099143206854346,102.84313725490196,0.0629394964840281,tensorflow,16,0,0.1254939759036144,0.0248175182481751
344,5.372093023255814,89,0.101027805347708,121,0.0047630347820191,22,1360,3.056617647058824,188.95454545454547,0.138937165775401,tensorflow,17,0,0.13731121038077,0.0327332242225859
347,4.818443804034582,89,0.0527606239421801,93,0.0046975729206576,37,2132,3.1111632270168856,179.27027027027026,0.0840854926220779,tensorflow,18,0,0.1468952734012975,0.0337477797513321
263,4.9581749049429655,67,0.0959968067965124,82,0.0062984355498795,34,2193,2.6292749658002736,169.58823529411765,0.0773316166411845,tensorflow,19,0,0.1425114928623276,0.0300601202404809
255,4.894117647058824,66,0.070441123989511,98,0.0064844835572024,22,1575,3.019047619047619,216.13636363636363,0.1372294372294372,tensorflow,20,0,0.129455374964357,0.0468384074941452
220,4.490909090909091,67,0.0760640971931294,55,0.0071398920713989,31,1433,3.3049546406140964,152.7741935483871,0.1066114400198095,tensorflow,21,0,0.1287535560004214,0.0549738219895288
213,5.032863849765258,56,0.0892728922554937,80,0.0077066170608557,35,1674,2.9874551971326166,142.88571428571427,0.0853558627752176,tensorflow,22,0,0.1382355961795214,0.0404624277456647
165,5.187878787878788,53,0.068,41,0.0087952697708795,29,1536,3.552734375,188.17241379310343,0.1225080818965517,tensorflow,23,0,0.137598011091987,0.0648464163822525
219,5.223744292237443,59,0.1002826701456838,84,0.0073310711742281,36,1977,3.0369246332827515,166.77777777777777,0.0843590175911875,tensorflow,24,0,0.1200593316464531,0.0612244897959183
167,5.389221556886228,44,0.0795618440538278,67,0.00981170189741,48,1769,3.254946297343132,119.95833333333331,0.0678113811946485,tensorflow,25,0,0.1314402312531882,0.0610932475884244
143,4.27972027972028,42,0.0870502046972635,48,0.0107357431301093,50,2429,4.009880609304241,194.8,0.0801976121860848,tensorflow,26,0,0.1104013421086591,0.0571428571428571
133,6.045112781954887,36,0.1155954599563622,50,0.0127591706539074,44,1964,3.741344195519348,167.0,0.085030549898167,tensorflow,27,0,0.1124180711610486,0.0588235294117647
118,4.745762711864407,36,0.1103479036574487,32,0.0128929450963349,52,2024,3.936264822134387,153.21153846153845,0.0756974004256613,tensorflow,28,0,0.1226248775710088,0.0597014925373134
113,4.460176991150442,34,0.0591369641004115,40,0.0131163084702907,62,2272,4.598591549295775,168.51612903225808,0.0741708314402544,tensorflow,29,0,0.1131143089872386,0.0697674418604651
115,4.626086956521739,38,0.0590439867785405,26,0.0128146453089244,49,2269,3.7047157338034378,171.55102040816325,0.0756064435470089,tensorflow,30,0,0.1241646334995226,0.0538922155688622
