project,month,interaction_type,sender,recipient_or_file_type,n_interactions
AJDT - AspectJ Development Tools Project,0,social,Andy Clement,Andy Clement,0
AJDT - AspectJ Development Tools Project,0,social,Andy Clement,Dean Wampler,1
AJDT - AspectJ Development Tools Project,0,social,Andy Clement,Martin Lippert,4
AJDT - AspectJ Development Tools Project,0,social,Andy Clement,Simone Gianni,1
AJDT - AspectJ Development Tools Project,0,social,Dean Wampler,Andy Clement,1
AJDT - AspectJ Development Tools Project,0,social,Dean Wampler,Dean Wampler,0
AJDT - AspectJ Development Tools Project,0,social,Dean Wampler,Simone Gianni,1
AJDT - AspectJ Development Tools Project,0,social,Martin Lippert,Andy Clement,4
AJDT - AspectJ Development Tools Project,0,social,Martin Lippert,Martin Lippert,0
AJDT - AspectJ Development Tools Project,0,social,Simone Gianni,Andy Clement,1
AJDT - AspectJ Development Tools Project,0,social,Simone Gianni,Dean Wampler,1
AJDT - AspectJ Development Tools Project,0,social,Simone Gianni,Simone Gianni,0
AJDT - AspectJ Development Tools Project,0,tech,aclement,java,10
AJDT - AspectJ Development Tools Project,1,social,Andrew Eisenberg,Andrew Eisenberg,0
AJDT - AspectJ Development Tools Project,1,social,Andrew Eisenberg,myskin83,1
AJDT - AspectJ Development Tools Project,1,social,Andy Clement,Andy Clement,0
AJDT - AspectJ Development Tools Project,1,social,Andy Clement,Eric Bodden,4
AJDT - AspectJ Development Tools Project,1,social,Andy Clement,Martin Lippert,11
AJDT - AspectJ Development Tools Project,1,social,Andy Clement,Neale Upstone,1
AJDT - AspectJ Development Tools Project,1,social,Andy Clement,cristi popovici,2
AJDT - AspectJ Development Tools Project,1,social,Eric Bodden,Andy Clement,4
AJDT - AspectJ Development Tools Project,1,social,Eric Bodden,Eric Bodden,0
AJDT - AspectJ Development Tools Project,1,social,Eric Bodden,Heiko Seeberger,1
AJDT - AspectJ Development Tools Project,1,social,Eric Bodden,cristi popovici,1
AJDT - AspectJ Development Tools Project,1,social,Eric Bodden,cristi.popovici,1
AJDT - AspectJ Development Tools Project,1,social,Heiko Seeberger,Eric Bodden,1
AJDT - AspectJ Development Tools Project,1,social,Heiko Seeberger,Heiko Seeberger,0
AJDT - AspectJ Development Tools Project,1,social,Martin Lippert,Andy Clement,11
AJDT - AspectJ Development Tools Project,1,social,Martin Lippert,Martin Lippert,0
AJDT - AspectJ Development Tools Project,1,social,Neale Upstone,Andy Clement,1
AJDT - AspectJ Development Tools Project,1,social,Neale Upstone,Neale Upstone,0
AJDT - AspectJ Development Tools Project,1,social,cristi popovici,Andy Clement,2
