project,month,interaction_type,sender,recipient_or_file_type,n_interactions
ActionBarSherlock,0,social,4nd3250n,4nd3250n,0
ActionBarSherlock,0,social,4nd3250n,Jake Wharton,1
ActionBarSherlock,0,social,Aaverin,Aaverin,0
ActionBarSherlock,0,social,Aaverin,M190,1
ActionBarSherlock,0,social,Abchyw,Abchyw,0
ActionBarSherlock,0,social,Abchyw,Simonvt,1
ActionBarSherlock,0,social,Aectann,Aectann,0
ActionBarSherlock,0,social,Agarwlgaurav,Agarwlgaurav,0
ActionBarSherlock,0,social,Agarwlgaurav,Jake Wharton,2
ActionBarSherlock,0,social,Aguillard,Aguillard,0
ActionBarSherlock,0,social,Ai212983,Ai212983,0
ActionBarSherlock,0,social,Ai212983,Chrisbanes,3
ActionBarSherlock,0,social,Ai212983,Jake Wharton,11
ActionBarSherlock,0,social,Ai212983,Xomo,1
ActionBarSherlock,0,social,Aisk,Aisk,0
ActionBarSherlock,0,social,Aisk,Simonvt,1
ActionBarSherlock,0,social,Alefranz,Alefranz,0
ActionBarSherlock,0,social,Alefranz,Jake Wharton,2
ActionBarSherlock,0,social,Alexious-sh,Alexious-sh,0
ActionBarSherlock,0,social,Alexious-sh,Simonvt,1
ActionBarSherlock,0,social,Alexious-sh,Veerupv,2
ActionBarSherlock,0,social,Alexliubj,Alexliubj,0
ActionBarSherlock,0,social,Alexliubj,Hameno,1
ActionBarSherlock,0,social,Alexsilva,Alexsilva,0
ActionBarSherlock,0,social,Alexsilva,Tevjef,1
ActionBarSherlock,0,social,Alphamu,Alphamu,0
ActionBarSherlock,0,social,Alphamu,Apkelly,1
ActionBarSherlock,0,social,Alphamu,Coreform,2
ActionBarSherlock,0,social,Alphamu,Jake Wharton,2
ActionBarSherlock,0,social,Alvarolb,Alvarolb,0
ActionBarSherlock,0,social,Alvarolb,Jake Wharton,1
ActionBarSherlock,0,social,Amirgalor,Amirgalor,0
ActionBarSherlock,0,social,Amirgalor,Jake Wharton,2
ActionBarSherlock,0,social,Amithrai13,Amithrai13,0
ActionBarSherlock,0,social,Amithrai13,Jake Wharton,1
ActionBarSherlock,0,social,Anderweb,Anderweb,0
ActionBarSherlock,0,social,Anderweb,Willlunniss,1
ActionBarSherlock,0,social,Andreronquetti,Andreronquetti,0
ActionBarSherlock,0,social,Andreronquetti,Jake Wharton,2
ActionBarSherlock,0,social,Andrew-knott,Andrew-knott,0
ActionBarSherlock,0,social,Andrew-knott,Jake Wharton,1
ActionBarSherlock,0,social,Andreynovikov,Andreynovikov,0
ActionBarSherlock,0,social,Andreynovikov,Jake Wharton,1
ActionBarSherlock,0,social,Androidder,Androidder,0
ActionBarSherlock,0,social,Androiddeveloperlb,Androiddeveloperlb,0
ActionBarSherlock,0,social,Androiddeveloperlb,Jake Wharton,13
ActionBarSherlock,0,social,Androiddeveloperlb,Simonvt,7
ActionBarSherlock,0,social,Androidmoney,Androidmoney,0
ActionBarSherlock,0,social,Androidmoney,Inoles,4
ActionBarSherlock,0,social,Androidmoney,Jake Wharton,14
ActionBarSherlock,0,social,Androidmoney,Necronet,1
ActionBarSherlock,0,social,Androidmoney,Simonvt,7
ActionBarSherlock,0,social,Androidmoney,Sleepybear,5
ActionBarSherlock,0,social,Androidoutput,Androidoutput,0
ActionBarSherlock,0,social,Androidoutput,Jake Wharton,3
ActionBarSherlock,0,social,Andyghiuta,Andyghiuta,0
ActionBarSherlock,0,social,Andyghiuta,Jake Wharton,1
ActionBarSherlock,0,social,Andyghiuta,Stevechapce,1
ActionBarSherlock,0,social,Andyscherzinger,Andyscherzinger,0
ActionBarSherlock,0,social,Andyscherzinger,Jake Wharton,1
ActionBarSherlock,0,social,Andytriboletti,Andytriboletti,0
ActionBarSherlock,0,social,Antoni-alvarez,Antoni-alvarez,0
ActionBarSherlock,0,social,Antoni-alvarez,Inoles,1
ActionBarSherlock,0,social,Antoni-alvarez,Simonvt,1
ActionBarSherlock,0,social,Antoniy,Antoniy,0
ActionBarSherlock,0,social,Antoniy,Jake Wharton,2
ActionBarSherlock,0,social,Aperomsik,Aperomsik,0
ActionBarSherlock,0,social,Aperomsik,Prototik,1
ActionBarSherlock,0,social,Aperomsik,Simonvt,1
ActionBarSherlock,0,social,Apkelly,Alphamu,1
ActionBarSherlock,0,social,Apkelly,Apkelly,0
ActionBarSherlock,0,social,Apkelly,Jake Wharton,2
ActionBarSherlock,0,social,Apkelly,Simonvt,1
ActionBarSherlock,0,social,App2go,App2go,0
ActionBarSherlock,0,social,App2go,Jake Wharton,4
ActionBarSherlock,0,social,App2go,Tprochazka,1
ActionBarSherlock,0,social,Appamatto,Appamatto,0
ActionBarSherlock,0,social,Appamatto,Jake Wharton,3
ActionBarSherlock,0,social,Arnestockmans,Arnestockmans,0
ActionBarSherlock,0,social,Arnestockmans,Jake Wharton,1
ActionBarSherlock,0,social,Artiomchi,Artiomchi,0
ActionBarSherlock,0,social,Artiomchi,Igorganapolsky,1
ActionBarSherlock,0,social,Artiomchi,Jake Wharton,7
ActionBarSherlock,0,social,Arturdryomov,Arturdryomov,0
ActionBarSherlock,0,social,Arturdryomov,Jake Wharton,3
ActionBarSherlock,0,social,Arunantoney,Arunantoney,0
ActionBarSherlock,0,social,Ashot-kr,Ashot-kr,0
ActionBarSherlock,0,social,Ashot-kr,Simonvt,1
ActionBarSherlock,0,social,Astachowiak,Astachowiak,0
