project,month,interaction_type,sender,recipient_or_file_type,n_interactions
deegree,0,tech,Markus Bengts,java,52
deegree,0,tech,Oliver Gerlich,java,7
deegree,1,tech,Markus Bengts,bat,1
deegree,1,tech,Markus Bengts,java,2
deegree,1,tech,Oliver Gerlich,java,8
deegree,1,tech,Rutger Schimmel,html,1
deegree,1,tech,Rutger Schimmel,java,57
deegree,2,tech,Akotsev,java,1
deegree,2,tech,Andreasgarnaes,java,5
deegree,2,tech,Markus Bengts,java,3
deegree,2,tech,Oliver Gerlich,java,16
deegree,3,tech,Andreasgarnaes,java,32
deegree,3,tech,Markus Bengts,gml,8
deegree,3,tech,Markus Bengts,java,117
deegree,3,tech,Oliver Gerlich,java,14
deegree,4,tech,Andreasgarnaes,java,27
deegree,4,tech,Markus Bengts,gml,104
deegree,4,tech,Markus Bengts,java,508
deegree,4,tech,Oliver Gerlich,java,16
deegree,4,tech,Rutger Schimmel,java,4
deegree,5,tech,Andreasgarnaes,java,15
deegree,5,tech,Cristiprodan,java,1
deegree,5,tech,Goltz,java,2
deegree,5,tech,Markus Bengts,gml,18
deegree,5,tech,Markus Bengts,java,76
deegree,5,tech,Oliver Gerlich,java,20
deegree,5,tech,Rutger Schimmel,java,1
deegree,6,tech,Andreasgarnaes,java,18
deegree,6,tech,Cristiprodan,html,1
deegree,6,tech,Markus Bengts,gml,11
deegree,6,tech,Markus Bengts,java,65
deegree,6,tech,Rutger Schimmel,html,4
deegree,6,tech,Rutger Schimmel,java,71
deegree,7,tech,Andreasgarnaes,java,7
deegree,7,tech,Markus Bengts,java,14
deegree,7,tech,Rutger Schimmel,java,510
deegree,7,tech,Rutger Schimmel,sh,2
deegree,8,tech,Ionita,java,13
deegree,8,tech,Rutger Schimmel,java,37
deegree,9,tech,Ionita,html,3
deegree,9,tech,Ionita,java,74
deegree,9,tech,Markus Bengts,html,2
deegree,9,tech,Markus Bengts,java,87
deegree,9,tech,Rutger Schimmel,html,2
deegree,9,tech,Rutger Schimmel,java,109
deegree,10,tech,Ionita,gml,5
deegree,10,tech,Ionita,java,195
deegree,10,tech,Markus Bengts,gml,1
deegree,10,tech,Markus Bengts,html,2
deegree,10,tech,Markus Bengts,java,380
deegree,10,tech,Rutger Schimmel,gml,73
deegree,10,tech,Rutger Schimmel,html,28
deegree,10,tech,Rutger Schimmel,java,948
deegree,11,tech,Andreasgarnaes,java,156
deegree,11,tech,Andreasgarnaes,js,8
deegree,11,tech,Ionita,java,11
