s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
4,9.0,1,0.5833333333333333,4,0.6666666666666666,1,9,1.0,9.0,1.0,AJDT - AspectJ Development Tools Project,0,0,0.0,0.0
8,16.0,2,0.3583333333333333,6,0.2857142857142857,1,1,1.0,1.0,1.0,AJDT - AspectJ Development Tools Project,1,0,0.0,0.08333333333333333
13,18.76923076923077,1,0.5188034188034188,13,0.21794871794871795,1,193,1.0,193.0,1.0,AJDT - AspectJ Development Tools Project,2,0,0.005154639175257732,0.04
12,12.666666666666666,1,0.5408730158730158,12,0.24242424242424243,1,75,1.0,75.0,1.0,AJDT - AspectJ Development Tools Project,3,0,0.07835820895522388,0.09090909090909091
4,6.0,1,0.5833333333333333,4,0.6666666666666666,1,39,1.0,39.0,1.0,AJDT - AspectJ Development Tools Project,4,0,0.06140350877192982,0.1
0,0.0,0,0.0,0,0.0,2,201,1.0099502487562189,101.5,0.5049751243781094,AJDT - AspectJ Development Tools Project,5,0,0.0743801652892562,0.0
7,12.0,1,1.0,7,1.0,1,89,1.0,89.0,1.0,AJDT - AspectJ Development Tools Project,6,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,134,1.007462686567164,67.5,0.503731343283582,AJDT - AspectJ Development Tools Project,7,0,0.14732142857142858,0.0
3,24.0,1,1.0,3,1.0,1,151,1.0,151.0,1.0,AJDT - AspectJ Development Tools Project,8,0,0.15384615384615385,0.0
5,16.8,1,0.4333333333333334,5,0.5,2,187,1.0053475935828877,94.0,0.5026737967914439,AJDT - AspectJ Development Tools Project,9,0,0.0855457227138643,0.0
7,10.857142857142858,1,0.29523809523809524,7,0.3333333333333333,2,92,1.0108695652173914,46.5,0.5054347826086957,AJDT - AspectJ Development Tools Project,10,0,0.099644128113879,0.08333333333333333
8,16.5,1,0.44166666666666665,8,0.39285714285714285,2,161,1.0062111801242235,81.0,0.5031055900621118,AJDT - AspectJ Development Tools Project,11,0,0.09019607843137255,0.1111111111111111
6,11.333333333333334,1,0.5,6,0.5333333333333333,1,56,1.0,56.0,1.0,AJDT - AspectJ Development Tools Project,12,0,0.05045871559633028,0.15789473684210525
5,16.0,1,0.8,5,0.7,1,56,1.0,56.0,1.0,AJDT - AspectJ Development Tools Project,13,0,0.08928571428571429,0.06666666666666667
3,6.666666666666667,1,1.0,3,1.0,1,10,1.0,10.0,1.0,AJDT - AspectJ Development Tools Project,14,0,0.030303030303030304,0.0
2,10.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,AJDT - AspectJ Development Tools Project,15,0,0.0,0.0
8,8.5,2,0.2625,6,0.25,1,58,1.0,58.0,1.0,AJDT - AspectJ Development Tools Project,16,0,0.0,0.0
4,9.0,1,0.5833333333333333,4,0.6666666666666666,1,72,1.0,72.0,1.0,AJDT - AspectJ Development Tools Project,17,0,0.1,0.09090909090909091
0,0.0,0,0.0,0,0.0,1,17,1.0,17.0,1.0,AJDT - AspectJ Development Tools Project,18,0,0.056179775280898875,0.0
4,13.0,1,0.5833333333333333,4,0.6666666666666666,1,7,1.0,7.0,1.0,AJDT - AspectJ Development Tools Project,19,0,0.041666666666666664,0.0
4,9.0,1,0.5833333333333333,4,0.6666666666666666,1,13,1.0,13.0,1.0,AJDT - AspectJ Development Tools Project,20,0,0.05,0.0
2,6.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,AJDT - AspectJ Development Tools Project,21,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,AJDT - AspectJ Development Tools Project,22,0,0.0,0.0
2,4.0,1,0.0,2,1.0,1,83,1.0,83.0,1.0,AJDT - AspectJ Development Tools Project,23,0,0.0,0.0
3,8.0,1,0.0,3,0.6666666666666666,1,1,1.0,1.0,1.0,AJDT - AspectJ Development Tools Project,24,0,0.011904761904761904,0.3333333333333333
5,3.2,2,0.6,3,0.4,1,94,1.0,94.0,1.0,AJDT - AspectJ Development Tools Project,25,0,0.010526315789473684,0.0
0,0.0,0,0.0,0,0.0,1,73,1.0,73.0,1.0,AJDT - AspectJ Development Tools Project,26,0,0.1317365269461078,0.0
2,10.0,1,0.0,2,1.0,1,94,1.0,94.0,1.0,AJDT - AspectJ Development Tools Project,27,0,0.11976047904191617,0.0
0,0.0,0,0.0,0,0.0,1,5,1.0,5.0,1.0,AJDT - AspectJ Development Tools Project,28,0,0.030303030303030304,0.0
0,0.0,0,0.0,0,0.0,1,27,1.0,27.0,1.0,AJDT - AspectJ Development Tools Project,29,0,0.03125,0.0
0,0.0,0,0.0,0,0.0,1,59,1.0,59.0,1.0,AJDT - AspectJ Development Tools Project,30,0,0.16279069767441862,0.0
4,9.0,1,0.0,4,0.5,1,34,1.0,34.0,1.0,AJDT - AspectJ Development Tools Project,31,0,0.03225806451612903,0.0
7,20.571428571428573,1,0.5904761904761904,7,0.38095238095238093,1,10,1.0,10.0,1.0,AJDT - AspectJ Development Tools Project,32,0,0.045454545454545456,0.0
0,0.0,0,0.0,0,0.0,1,31,1.0,31.0,1.0,AJDT - AspectJ Development Tools Project,33,0,0.0975609756097561,0.0
0,0.0,0,0.0,0,0.0,1,11,1.0,11.0,1.0,AJDT - AspectJ Development Tools Project,34,0,0.16666666666666666,0.0
0,0.0,0,0.0,0,0.0,1,10,1.0,10.0,1.0,AJDT - AspectJ Development Tools Project,35,0,0.0,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,AJDT - AspectJ Development Tools Project,36,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,158,1.0,158.0,1.0,AJDT - AspectJ Development Tools Project,37,0,0.0,0.0
2,6.0,1,0.0,2,1.0,1,2,1.0,2.0,1.0,AJDT - AspectJ Development Tools Project,38,0,0.0,0.0
2,8.0,1,0.0,2,1.0,1,10,1.0,10.0,1.0,AJDT - AspectJ Development Tools Project,39,0,0.0,0.0
0,0.0,0,0.0,0,0.0,1,42,1.0,42.0,1.0,AJDT - AspectJ Development Tools Project,40,0,0.0,0.0
2,6.0,1,0.0,2,1.0,1,1,1.0,1.0,1.0,AJDT - AspectJ Development Tools Project,41,0,0.023255813953488372,0.0
0,0.0,0,0.0,0,0.0,1,8,1.0,8.0,1.0,AJDT - AspectJ Development Tools Project,42,0,0.0,0.0
2,4.0,1,0.0,2,1.0,1,214,1.0,214.0,1.0,AJDT - AspectJ Development Tools Project,43,1,0.0,0.0
2,2.0,1,0.0,2,1.0,1,1,1.0,1.0,1.0,AJDT - AspectJ Development Tools Project,44,1,0.004651162790697674,0.0
2,2.0,1,0.0,2,1.0,1,15,1.0,15.0,1.0,AJDT - AspectJ Development Tools Project,45,0,0.0,0.0
