s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
349,13.008595988538682,10,0.2721410560898776,331,0.0078714224549616,1,14,1.0,14.0,1.0,ActionBarSherlock,0,1,0.0,0.0
89,6.966292134831461,12,0.1889010077942836,64,0.0247701736465781,1,11,1.0,11.0,1.0,ActionBarSherlock,1,1,0.24,0.0382608695652173
56,6.142857142857143,10,0.1851503759398496,27,0.0357142857142857,1,72,1.0,72.0,1.0,ActionBarSherlock,2,1,0.1204819277108433,0.0197368421052631
26,5.538461538461538,5,0.1303418803418803,16,0.08,1,41,1.0,41.0,1.0,ActionBarSherlock,3,1,0.2831858407079646,0.0
36,3.6666666666666665,10,0.0,11,0.0428571428571428,1,125,1.0,125.0,1.0,ActionBarSherlock,4,1,0.2289156626506024,0.0
22,6.545454545454546,4,0.106060606060606,15,0.0822510822510822,1,73,1.0,73.0,1.0,ActionBarSherlock,5,1,0.1868686868686868,0.0
22,5.636363636363637,4,0.0,15,0.0779220779220779,3,23,1.173913043478261,9.0,0.391304347826087,ActionBarSherlock,6,1,0.14,0.0
9,4.444444444444445,3,0.2592592592592593,4,0.1944444444444444,5,61,1.098360655737705,13.4,0.2196721311475409,ActionBarSherlock,7,1,0.1595744680851064,0.04
2494,21.647153167602244,8,0.3663741270383444,2475,0.0015964508160942,3,57,1.2456140350877194,23.666666666666668,0.4152046783625731,airflow,0,0,0.0,0.0
799,10.55819774718398,36,0.1783392683300182,722,0.0035163001370761,2,38,1.3157894736842106,25.0,0.6578947368421053,airflow,1,0,0.2809917355371901,0.0563773833004602
385,7.251948051948052,36,0.1071923568569421,302,0.0058982683982683,4,44,1.9772727272727275,21.75,0.4943181818181818,airflow,2,0,0.1678832116788321,0.048169556840077
263,7.224334600760456,26,0.128718452472116,190,0.0085623893420021,4,54,1.7592592592592593,23.75,0.4398148148148148,airflow,3,0,0.2362637362637362,0.0451436388508891
204,6.215686274509804,26,0.0869057086623707,145,0.0098039215686274,3,47,1.9574468085106385,30.666666666666668,0.6524822695035462,airflow,4,0,0.2566844919786096,0.0200803212851405
156,5.333333333333333,23,0.0785382122486194,93,0.0124896608767576,6,41,2.097560975609756,14.333333333333334,0.3495934959349593,airflow,5,0,0.2303370786516854,0.0282485875706214
166,6.506024096385542,18,0.1284212049912476,121,0.013143483023001,7,42,2.1904761904761907,13.142857142857142,0.3129251700680272,airflow,6,0,0.2303370786516854,0.0302114803625377
118,5.627118644067797,16,0.1049281663465427,81,0.0172388816456613,6,37,1.945945945945946,12.0,0.3243243243243243,airflow,7,0,0.2621951219512195,0.0367892976588628
427,34.960187353629976,2,0.4296565534038974,425,0.0104671746324944,2,12,1.3333333333333333,8.0,0.6666666666666666,baker,0,2,0.0,0.0
157,12.585987261146498,3,0.2965045205725699,153,0.0195982361587457,2,6,1.1666666666666667,3.5,0.5833333333333334,baker,1,2,0.1739130434782608,0.0998322147651006
75,10.026666666666667,5,0.2719990156269226,67,0.0342342342342342,1,4,1.0,4.0,1.0,baker,2,1,0.1818181818181818,0.0835820895522388
38,11.578947368421051,4,0.2987468671679198,32,0.0654338549075391,3,14,1.2857142857142858,6.0,0.4285714285714285,baker,3,3,0.1363636363636363,0.0851063829787234
25,6.88,3,0.2346666666666666,21,0.09,5,35,1.9142857142857144,13.4,0.3828571428571428,baker,4,3,0.1411764705882353,0.0547945205479452
21,8.380952380952381,3,0.2069597069597069,16,0.0952380952380952,2,31,1.096774193548387,17.0,0.5483870967741935,baker,5,0,0.1782178217821782,0.0212765957446808
26,11.846153846153848,7,0.1983682983682983,14,0.08,5,21,1.380952380952381,5.8,0.2761904761904762,baker,6,3,0.3015873015873015,0.0869565217391304
17,12.470588235294118,4,0.1999999999999999,11,0.1176470588235294,3,21,1.238095238095238,8.666666666666666,0.4126984126984127,baker,7,2,0.3272727272727272,0.1428571428571428
6,2.0,3,0.0,2,0.2,1,75,1.0,75.0,1.0,busybox,0,0,0.0,0.0
2,6.0,1,0.0,2,1.0,1,49,1.0,49.0,1.0,busybox,1,0,0.3387096774193548,0.0
5,4.0,1,0.0,5,0.4,3,44,1.2045454545454546,17.666666666666668,0.4015151515151515,busybox,2,0,0.2352941176470588,0.0
0,0.0,0,0.0,0,0.0,2,44,1.1136363636363635,24.5,0.5568181818181818,busybox,3,0,0.2745098039215686,0.0
0,0.0,0,0.0,0,0.0,2,98,1.020408163265306,50.0,0.5102040816326531,busybox,4,0,0.2751677852348993,0.0
0,0.0,0,0.0,0,0.0,2,57,1.0175438596491229,29.0,0.5087719298245614,busybox,5,0,0.2911392405063291,0.0
0,0.0,0,0.0,0,0.0,2,94,1.1063829787234043,52.0,0.5531914893617021,busybox,6,0,0.3209876543209876,0.0
0,0.0,0,0.0,0,0.0,2,90,1.011111111111111,45.5,0.5055555555555555,busybox,7,0,0.3846153846153846,0.0
63,20.825396825396822,1,0.2380576890254309,63,0.0404505888376856,1,109,1.0,109.0,1.0,calipso,0,1,0.0,0.0
21,7.619047619047619,4,0.0,15,0.0809523809523809,6,128,1.7109375,36.5,0.28515625,calipso,1,2,0.2560975609756097,0.09375
12,9.666666666666666,2,0.0,7,0.1515151515151515,8,82,1.2926829268292683,13.25,0.1615853658536585,calipso,2,1,0.163076923076923,0.074074074074074
13,4.0,4,0.1794871794871795,5,0.1282051282051282,5,123,1.3902439024390243,34.2,0.2780487804878049,calipso,3,1,0.1227436823104693,0.05
2,2.0,1,0.0,2,1.0,6,157,1.2993630573248407,34.0,0.2165605095541401,calipso,4,1,0.272,0.0
