s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
349,13.008595988538682,10,0.2721410560898776,331,0.00787142245496163,1,14,1.0,14.0,1.0,ActionBarSherlock,0,1,0.0,0.0
89,6.966292134831461,12,0.18890100779428362,64,0.02477017364657814,1,11,1.0,11.0,1.0,ActionBarSherlock,1,1,0.24,0.03826086956521739
56,6.142857142857143,10,0.18515037593984962,27,0.03571428571428571,1,72,1.0,72.0,1.0,ActionBarSherlock,2,1,0.12048192771084337,0.019736842105263157
26,5.538461538461538,5,0.13034188034188035,16,0.08,1,41,1.0,41.0,1.0,ActionBarSherlock,3,1,0.2831858407079646,0.0
36,3.6666666666666665,10,0.0,11,0.04285714285714286,1,125,1.0,125.0,1.0,ActionBarSherlock,4,1,0.2289156626506024,0.0
22,6.545454545454546,4,0.10606060606060606,15,0.08225108225108226,1,73,1.0,73.0,1.0,ActionBarSherlock,5,1,0.18686868686868688,0.0
22,5.636363636363637,4,0.0,15,0.07792207792207792,3,23,1.173913043478261,9.0,0.391304347826087,ActionBarSherlock,6,1,0.14,0.0
9,4.444444444444445,3,0.2592592592592593,4,0.19444444444444445,5,61,1.098360655737705,13.4,0.21967213114754097,ActionBarSherlock,7,1,0.1595744680851064,0.04
17,4.0,6,0.0,6,0.08088235294117647,2,184,1.016304347826087,93.5,0.5081521739130435,ActionBarSherlock,8,1,0.2047244094488189,0.0
7,2.857142857142857,3,0.0,3,0.19047619047619047,2,139,1.0071942446043165,70.0,0.5035971223021583,ActionBarSherlock,9,1,0.27522935779816515,0.0
14,2.5714285714285716,5,0.0,6,0.0989010989010989,2,60,1.0166666666666666,30.5,0.5083333333333333,ActionBarSherlock,10,1,0.23383084577114427,0.0
16,5.5,2,0.12797619047619047,14,0.14166666666666666,6,122,1.1557377049180328,23.5,0.19262295081967212,ActionBarSherlock,11,1,0.2524752475247525,0.0
13,2.4615384615384617,5,0.0,4,0.10256410256410256,10,153,1.0849673202614378,16.6,0.1084967320261438,ActionBarSherlock,12,1,0.36156351791530944,0.0
2,8.0,1,0.0,2,1.0,4,30,1.1,8.25,0.275,ActionBarSherlock,13,0,0.11557788944723618,0.0
2,2.0,1,0.0,2,1.0,4,20,1.15,5.75,0.2875,ActionBarSherlock,14,1,0.16071428571428573,0.0
