proj_name,status,included,st_date,end_date
EMFStore,GRADUATED,Y,2010-08-25,2013-07-24
Epsilon,GRADUATED,Y,2012-09-05,2014-07-30
OCL (Object Constraint Language),GRADUATED,Y,2008-06-04,2010-08-18
Paho,GRADUATED,Y,2012-01-04,2014-06-11
Trace Compass,GRADUATED,Y,2014-09-24,2015-06-10
Collections,GRADUATED,Y,2015-11-18,2016-04-06
MDT UML2,GRADUATED,Y,2005-06-17,2008-06-04
MoDisco,RETIRED,Y,2016-06-01,2019-11-20
Dynamic Languages Toolkit,GRADUATED,Y,2006-12-06,2009-06-10
EMF Client Platform,GRADUATED,Y,2010-08-25,2013-06-12
Nebula - Supplemental Widgets for SWT,GRADUATED,Y,2016-06-01,2016-06-01
Sirius,GRADUATED,Y,2013-12-04,2014-06-11
WindowBuilder,GRADUATED,Y,2011-01-26,2011-06-15
ATL,GRADUATED,Y,2012-06-13,2014-06-11
JGit: Java implementation of Git,GRADUATED,Y,2010-06-11,2011-06-15
Linux Tools,GRADUATED,Y,2012-07-25,2015-02-11
Embedded CDT (C_C++ Development Tools),GRADUATED,Y,2019-12-18,2020-12-09
Tools for Cloud Foundry,GRADUATED,Y,2015-08-19,2016-06-01
GLSP,GRADUATED,Y,2019-06-19,2022-06-15
Temurin,GRADUATED,Y,2021-02-08,2021-12-15
Acceleo,GRADUATED,Y,2009-06-10,2010-06-11
AspectJ,GRADUATED,Y,2012-05-02,2014-04-16
GlassFish,GRADUATED,Y,2018-05-02,2021-02-17
Theia,GRADUATED,Y,2018-05-02,2020-04-08
Yasson,GRADUATED,Y,2016-11-02,2021-02-17
Buildship: Plug-ins for Gradle,GRADUATED,Y,2015-02-25,2017-01-18
SWTBot,GRADUATED,Y,2008-11-12,2013-03-20
VIATRA,GRADUATED,Y,2013-07-31,2016-02-03
BIRT (Business Intelligence and Reporting Tools),GRADUATED,Y,2004-09-30,2009-06-10
Marketplace Client,GRADUATED,Y,2010-03-10,2013-06-19
Passage,GRADUATED,Y,2018-12-05,2019-08-21
EGit: Git Integration for Eclipse,GRADUATED,Y,2009-05-06,2011-06-15
PHP Development Tools,GRADUATED,Y,2006-03-08,2009-06-17
RCP Testing Tool,GRADUATED,Y,2014-03-05,2015-06-10
Remote Application Platform,GRADUATED,Y,2006-06-21,2009-06-10
Xtext,GRADUATED,Y,2009-06-10,2010-06-11
EMF Compare,GRADUATED,Y,2008-06-04,2009-06-10
Edapt,GRADUATED,Y,2009-06-10,2014-10-29
Maven Integration - m2eclipse,GRADUATED,Y,2008-05-20,2011-06-08
Memory Analyzer,GRADUATED,Y,2008-02-27,2010-04-28
Nebula NatTable,GRADUATED,Y,2012-03-28,2013-05-29
Oomph,GRADUATED,Y,2014-12-03,2016-06-01
Graphical Editing Framework (GEF),GRADUATED,Y,2003-03-27,2005-06-22
EclEmma,GRADUATED,Y,2016-07-27,2017-06-07
EMF Parsley,GRADUATED,Y,2015-02-11,2016-06-01
ShellWax,GRADUATED,Y,2019-06-05,2020-07-15
e(fx)clipse,GRADUATED,Y,2014-01-29,2014-08-13
Ecore Tools,GRADUATED,Y,2008-06-04,2011-06-08
Wakaama,GRADUATED,Y,2014-03-26,2018-12-19
JKube,GRADUATED,Y,2019-11-06,2022-02-02
Keyple,GRADUATED,Y,2018-10-03,2022-09-13
Lyo,GRADUATED,Y,2011-07-13,2012-10-10
Scout,GRADUATED,Y,2010-04-07,2014-06-11
Contexts and Dependency Injection,GRADUATED,Y,2019-07-15,2021-02-17
GeoMesa,GRADUATED,Y,2016-02-17,2018-04-18
EGerrit,GRADUATED,Y,2015-02-18,2017-06-07
Mylyn,GRADUATED,Y,2010-04-07,2013-11-06
Accessibility Tools Framework,GRADUATED,Y,2007-09-17,2012-06-13
Amalgam,GRADUATED,Y,2008-01-30,2010-06-11
Capella,GRADUATED,Y,2019-12-04,2022-07-20
Cargo Tracker,GRADUATED,Y,2019-08-07,2021-03-17
CDT (C_C++ Development Tooling),GRADUATED,Y,2005-08-08,2007-06-06
Communications Framework,GRADUATED,Y,2004-11-09,2007-06-18
Dali Java Persistence Tools,GRADUATED,Y,2005-07-21,2007-02-28
Dirigible,GRADUATED,Y,2015-03-18,2017-11-14
Equinox,GRADUATED,Y,2005-09-23,2008-01-30
Generation Factories (EGF),GRADUATED,Y,2009-09-17,2013-06-12
Modeling Workflow Engine,GRADUATED,Y,2009-06-10,2011-06-08
Hono,GRADUATED,Y,2016-02-03,2019-10-16
iceoryx,GRADUATED,Y,2019-08-07,2021-04-07
Jetty - Servlet Engine and Http Server,GRADUATED,Y,2009-03-11,2009-06-24
Kura,GRADUATED,Y,2014-08-13,2014-09-24
Leshan,GRADUATED,Y,2014-12-17,2020-04-15
Modeling Project,GRADUATED,Y,2006-03-08,2012-11-14
Mosquitto,GRADUATED,Y,2014-08-13,2019-04-17
Orbit Project,RETIRED,Y,2006-09-11,2023-02-08
RDF4J,GRADUATED,Y,2015-06-03,2016-08-17
Riena,RETIRED,Y,2007-12-19,2024-10-07
Sprotty,GRADUATED,Y,2018-08-01,2023-10-04
SUMO,GRADUATED,Y,2017-06-21,2019-10-02
Tools for Faces,GRADUATED,Y,2005-08-26,2007-02-28
Virgo,GRADUATED,Y,2010-02-24,2011-09-21
EclipseLink,GRADUATED,Y,2007-05-30,2008-06-26
WTP Java EE Tools,RETIRED,Y,2009-06-24,2015-03-04
Angus,GRADUATED,Y,2021-07-14,2022-12-21
Ditto,GRADUATED,Y,2017-04-05,2019-12-04
EE4J,GRADUATED,Y,2017-10-25,2019-06-17
Jersey,GRADUATED,Y,2017-12-18,2021-02-17
Packaging Project,GRADUATED,Y,2007-01-31,2008-05-20
Wild Web Developer,GRADUATED,Y,2018-08-01,2022-11-02
Annotations,GRADUATED,Y,2018-03-07,2021-02-17
Batch,GRADUATED,Y,2019-06-05,2021-02-17
EE TCK,GRADUATED,Y,2018-05-16,2021-02-17
Mail,GRADUATED,Y,2018-03-07,2021-02-17
Validation,GRADUATED,Y,2019-07-03,2021-02-17
Spatial4j,GRADUATED,Y,2017-12-20,2020-11-18
Grizzly,GRADUATED,Y,2017-12-18,2021-02-17
Implementation of JAXB,GRADUATED,Y,2018-07-04,2021-02-17
Kapua,GRADUATED,Y,2016-07-06,2018-10-03
Kitalpha,GRADUATED,Y,2014-04-09,2019-12-04
Krazo,GRADUATED,Y,2018-09-19,2020-10-21
Metro,GRADUATED,Y,2018-07-04,2021-02-17
Mojarra,GRADUATED,Y,2017-12-18,2021-02-17
OpenMQ,GRADUATED,Y,2017-12-18,2021-02-17
ORB,GRADUATED,Y,2018-07-04,2021-02-17
Soteria,GRADUATED,Y,2018-03-07,2021-02-17
Tyrus,GRADUATED,Y,2017-12-18,2021-02-17
WaSP,GRADUATED,Y,2020-05-20,2021-02-17
Activation,GRADUATED,Y,2018-06-20,2021-02-17
Authentication,GRADUATED,Y,2018-05-16,2021-02-17
Authorization,GRADUATED,Y,2018-05-02,2021-02-17
Concurrency,GRADUATED,Y,2018-03-07,2021-02-17
Connectors,GRADUATED,Y,2018-05-16,2021-02-17
EE Platform,GRADUATED,Y,2018-06-20,2021-02-17
Enterprise Beans,GRADUATED,Y,2018-05-16,2021-02-17
Expression Language,GRADUATED,Y,2018-03-07,2021-02-17
Faces,GRADUATED,Y,2019-07-03,2021-02-17
Interceptors,GRADUATED,Y,2018-05-16,2021-02-17
JSON Binding,GRADUATED,Y,2018-03-07,2021-02-17
JSON Processing,GRADUATED,Y,2017-12-18,2021-02-17
Persistence,GRADUATED,Y,2018-07-18,2021-02-17
RESTful Web Services,GRADUATED,Y,2017-12-18,2021-02-17
Security,GRADUATED,Y,2018-03-07,2021-02-17
Server Pages,GRADUATED,Y,2018-05-02,2021-02-17
Servlet,GRADUATED,Y,2018-05-02,2021-02-17
Stable APIs,GRADUATED,Y,2018-05-16,2021-02-17
Standard Tag Library,GRADUATED,Y,2018-03-07,2021-02-17
Transactions,GRADUATED,Y,2018-03-07,2021-02-17
WebSocket,GRADUATED,Y,2017-12-18,2021-02-17
XML Binding,GRADUATED,Y,2018-06-20,2021-02-17
XML Web Services,GRADUATED,Y,2018-06-20,2021-02-17
NeoSCADA,RETIRED,Y,2020-04-15,2021-03-03
Concierge,RETIRED,Y,2014-08-13,2022-10-19
SW360antenna,RETIRED,Y,2018-05-16,2021-02-17
SmartHome,RETIRED,Y,2014-08-13,2020-05-06
AJDT - AspectJ Development Tools Project,RETIRED,Y,2008-04-16,2023-04-05
Golo,RETIRED,Y,2015-06-17,2022-09-14
Orion,RETIRED,Y,2011-06-29,2012-10-17
Parallel Tools Platform (PTP),RETIRED,Y,2017-01-18,2023-11-29
Bridge.IoT,RETIRED,Y,2017-12-06,2022-02-16
Unide,RETIRED,Y,2016-09-14,2023-09-27
Bundle Recipes,RETIRED,Y,2019-05-01,2023-02-08
Ceylon,RETIRED,Y,2017-07-19,2023-04-05
Edje,RETIRED,Y,2016-03-02,2018-10-03
Jemo - Cloud Application Runtime,RETIRED,Y,2018-12-19,2023-09-14
Kiso,RETIRED,Y,2019-05-15,2021-07-21
Ponte,RETIRED,Y,2014-08-13,2018-07-18
Gemini Naming,RETIRED,Y,2012-02-15,2022-05-25
Tangle Marketplaces,RETIRED,Y,2020-05-06,2022-02-02
Lua Development Tools,GRADUATED,N,2014-05-28,2017-06-21
Papyrus,GRADUATED,N,2010-12-01,2014-06-11
Target Management: Terminal and Remote System Explorer (RSE),GRADUATED,N,2006-09-27,2010-09-29
Handly,GRADUATED,N,2014-06-18,2018-06-06
EMF,GRADUATED,N,2005-07-05,2007-06-06
WTP Source Editing,GRADUATED,N,2008-08-13,2009-03-18
BPMN2 Modeler Project,GRADUATED,N,2011-06-29,2013-10-30
